pred,obs,N,T,rowIndex,mtry,Resample
N,N,0.608,0.392,1,2,Fold01
T,T,0.43,0.57,84,2,Fold01
N,N,0.62,0.38,2,2,Fold02
T,T,0.374,0.626,85,2,Fold02
N,N,0.55,0.45,3,2,Fold03
T,T,0.128,0.872,86,2,Fold03
N,N,0.624,0.376,4,2,Fold04
N,T,0.564,0.436,87,2,Fold04
T,N,0.484,0.516,5,2,Fold05
N,T,0.64,0.36,88,2,Fold05
N,N,0.606,0.394,6,2,Fold06
T,T,0.486,0.514,89,2,Fold06
N,N,0.658,0.342,7,2,Fold07
T,T,0.488,0.512,90,2,Fold07
N,N,0.844,0.156,8,2,Fold08
T,T,0.386,0.614,91,2,Fold08
N,N,0.838,0.162,9,2,Fold09
N,T,0.614,0.386,92,2,Fold09
N,N,0.668,0.332,10,2,Fold10
N,T,0.554,0.446,93,2,Fold10
N,N,0.52,0.48,11,2,Fold11
N,T,0.706,0.294,94,2,Fold11
N,N,0.83,0.17,12,2,Fold12
N,T,0.664,0.336,95,2,Fold12
N,N,0.512,0.488,13,2,Fold13
T,T,0.032,0.968,96,2,Fold13
N,N,0.5,0.5,14,2,Fold14
T,T,0.368,0.632,97,2,Fold14
N,N,0.74,0.26,15,2,Fold15
T,T,0.084,0.916,98,2,Fold15
N,N,0.682,0.318,16,2,Fold16
N,T,0.648,0.352,99,2,Fold16
N,N,0.81,0.19,17,2,Fold17
N,T,0.536,0.464,100,2,Fold17
N,N,0.654,0.346,18,2,Fold18
T,T,0.304,0.696,101,2,Fold18
N,N,0.648,0.352,19,2,Fold19
T,T,0.116,0.884,102,2,Fold19
T,N,0.416,0.584,20,2,Fold20
T,T,0.08,0.92,103,2,Fold20
N,N,0.85,0.15,21,2,Fold21
T,T,0.466,0.534,104,2,Fold21
N,N,0.734,0.266,22,2,Fold22
N,T,0.624,0.376,105,2,Fold22
N,N,0.562,0.438,23,2,Fold23
N,T,0.618,0.382,106,2,Fold23
N,N,0.5,0.5,24,2,Fold24
T,T,0.072,0.928,107,2,Fold24
N,N,0.734,0.266,25,2,Fold25
T,T,0.382,0.618,108,2,Fold25
N,N,0.686,0.314,26,2,Fold26
T,T,0.37,0.63,109,2,Fold26
N,N,0.636,0.364,27,2,Fold27
N,T,0.522,0.478,110,2,Fold27
T,N,0.482,0.518,28,2,Fold28
T,T,0.48,0.52,111,2,Fold28
N,N,0.56,0.44,29,2,Fold29
T,T,0.4,0.6,112,2,Fold29
N,N,0.698,0.302,30,2,Fold30
N,T,0.548,0.452,113,2,Fold30
N,N,0.566,0.434,31,2,Fold31
T,T,0.118,0.882,114,2,Fold31
T,N,0.446,0.554,32,2,Fold32
T,T,0.024,0.976,115,2,Fold32
N,N,0.9,0.1,33,2,Fold33
N,T,0.696,0.304,116,2,Fold33
N,N,0.618,0.382,34,2,Fold34
T,T,0.476,0.524,117,2,Fold34
N,N,0.78,0.22,35,2,Fold35
N,T,0.62,0.38,118,2,Fold35
N,N,0.674,0.326,36,2,Fold36
N,T,0.63,0.37,119,2,Fold36
T,N,0.45,0.55,37,2,Fold37
T,T,0.018,0.982,120,2,Fold37
N,N,0.76,0.24,38,2,Fold38
T,T,0.472,0.528,121,2,Fold38
N,N,0.566,0.434,39,2,Fold39
N,T,0.58,0.42,122,2,Fold39
T,N,0.366,0.634,40,2,Fold40
T,T,0.28,0.72,123,2,Fold40
N,N,0.908,0.092,41,2,Fold41
N,T,0.52,0.48,124,2,Fold41
T,N,0.464,0.536,42,2,Fold42
T,T,0.022,0.978,125,2,Fold42
N,N,0.728,0.272,43,2,Fold43
N,T,0.926,0.074,126,2,Fold43
N,N,0.52,0.48,44,2,Fold44
T,T,0.424,0.576,127,2,Fold44
T,N,0.47,0.53,45,2,Fold45
N,T,0.82,0.18,128,2,Fold45
N,N,0.722,0.278,46,2,Fold46
T,T,0.1,0.9,129,2,Fold46
N,N,0.57,0.43,47,2,Fold47
T,T,0.31,0.69,130,2,Fold47
N,N,0.806,0.194,48,2,Fold48
T,T,0.202,0.798,131,2,Fold48
N,N,0.514,0.486,49,2,Fold49
N,T,0.83,0.17,132,2,Fold49
T,N,0.36,0.64,50,2,Fold50
T,T,0.014,0.986,133,2,Fold50
T,N,0.462,0.538,51,2,Fold51
T,T,0.024,0.976,134,2,Fold51
T,N,0.436,0.564,52,2,Fold52
T,T,0.048,0.952,135,2,Fold52
N,N,0.752,0.248,53,2,Fold53
T,T,0.404,0.596,136,2,Fold53
N,N,0.794,0.206,54,2,Fold54
T,T,0.206,0.794,137,2,Fold54
N,N,0.568,0.432,55,2,Fold55
T,T,0.004,0.996,138,2,Fold55
N,N,0.776,0.224,56,2,Fold56
T,T,0.202,0.798,139,2,Fold56
T,N,0.414,0.586,57,2,Fold57
T,T,0.006,0.994,140,2,Fold57
N,N,0.876,0.124,58,2,Fold58
T,T,0.096,0.904,141,2,Fold58
N,N,0.61,0.39,59,2,Fold59
N,T,0.544,0.456,142,2,Fold59
N,N,0.538,0.462,60,2,Fold60
T,T,0.372,0.628,143,2,Fold60
N,N,0.568,0.432,61,2,Fold61
T,T,0.376,0.624,144,2,Fold61
N,N,0.582,0.418,62,2,Fold62
T,T,0,1,145,2,Fold62
N,N,0.778,0.222,63,2,Fold63
T,T,0.366,0.634,146,2,Fold63
N,N,0.592,0.408,64,2,Fold64
T,T,0.312,0.688,147,2,Fold64
N,N,0.762,0.238,65,2,Fold65
N,T,0.842,0.158,148,2,Fold65
N,N,0.672,0.328,66,2,Fold66
T,T,0.458,0.542,149,2,Fold66
N,N,0.804,0.196,67,2,Fold67
T,T,0.206,0.794,150,2,Fold67
N,N,0.698,0.302,68,2,Fold68
T,T,0.14,0.86,151,2,Fold68
N,N,0.58,0.42,69,2,Fold69
T,T,0.438,0.562,152,2,Fold69
N,N,0.794,0.206,70,2,Fold70
T,T,0.352,0.648,153,2,Fold70
N,N,0.606,0.394,71,2,Fold71
T,T,0.244,0.756,154,2,Fold71
N,N,0.514,0.486,72,2,Fold72
T,T,0.37,0.63,155,2,Fold72
N,N,0.64,0.36,73,2,Fold73
T,T,0.462,0.538,156,2,Fold73
N,N,0.782,0.218,74,2,Fold74
T,T,0.272,0.728,157,2,Fold74
N,N,0.546,0.454,75,2,Fold75
T,T,0.426,0.574,158,2,Fold75
N,N,0.554,0.446,76,2,Fold76
N,T,0.518,0.482,159,2,Fold76
N,N,0.82,0.18,77,2,Fold77
T,T,0.338,0.662,160,2,Fold77
T,N,0.272,0.728,78,2,Fold78
T,T,0.114,0.886,161,2,Fold78
N,N,0.592,0.408,79,2,Fold79
T,T,0.482,0.518,162,2,Fold79
T,N,0.408,0.592,80,2,Fold80
T,T,0.264,0.736,163,2,Fold80
N,N,0.692,0.308,81,2,Fold81
T,T,0.016,0.984,164,2,Fold81
N,N,0.774,0.226,82,2,Fold82
N,T,0.518,0.482,165,2,Fold82
N,N,0.76,0.24,83,2,Fold83
T,T,0.366,0.634,166,2,Fold83
