N,S
P69905_HBA,12.5,12.5
P02675_FIBB,47.5,47.5
P02042_HBD,2.49999999999999,2.49999999999999
P68871_HBB,10,10
P08514_ITA2B,25,25
P00915_CAH1,0,0
P02679_FIBG,37.5,37.5
P35579_MYH9,22.5,22.5
P32119_PRDX2,2.49999999999999,2.49999999999999
P02671_FIBA,67.5,67.5
Q9Y490_TLN1,10,10
P21333_FLNA,5,5
P61224_RAP1B,15,15
P18206_VINC,35,35
P60660_MYL6,40,40
P02730_B3AT,30,30
P05106_ITB3,17.5,17.5
P05109_S10A8,7.49999999999999,7.49999999999999
P06396_GELS,57.5,57.5
P02751_FINC,15,15
P02788_TRFL,62.5,62.5
P04040_CATA,27.5,27.5
P02768_ALBU,50,50
P06702_S10A9,22.5,22.5
P00918_CAH2,10,10
P07996_TSP1,10,10
P27105_STOM,10,10
P00488_F13A,17.5,17.5
P59666_DEF3,30,30
P11277_SPTB1,7.49999999999999,7.49999999999999
P63104_1433Z,12.5,12.5
P12814_ACTN1,12.5,12.5
P02549_SPTA1,7.49999999999999,7.49999999999999
Q15404_RSU1,35,35
Q86UX7_URP2,40,40
P04406_G3P,22.5,22.5
P30043_BLVRB,25,25
P14618_KPYM,45,45
P04075_ALDOA,27.5,27.5
P10909_CLUS,62.5,62.5
P62937_PPIA,5,5
Q9ULG1_INO80,2.50000000000001,2.50000000000001
P30041_PRDX6,30,30
Q99880_H2B1L,90,90
P06576_ATPB,50,50
P07737_PROF1,47.5,47.5
P25705_ATPA,62.5,62.5
P30101_PDIA3,12.5,12.5
P13224_GP1BB,32.5,32.5
P68366_TBA4A,35,35
Q13201_MMRN1,2.49999999999999,2.49999999999999
P37802_TAGL2,27.5,27.5
P11142_HSP7C,52.5,52.5
P24158_PRTN3,12.5,12.5
P07195_LDHB,92.5,92.5
Q01518_CAP1,47.5,47.5
P19105_ML12A,55,55
P01857_IGHG1,37.5,37.5
P16157_ANK1,10,10
P67936_TPM4,22.5,22.5
P11021_GRP78,37.5,37.5
P06733_ENOA,15,15
P78417_GSTO1,17.5,17.5
Q9H4B7_TBB1,47.5,47.5
P16452_EPB42,17.5,17.5
P10809_CH60,37.5,37.5
P68363_TBA1B,97.5,97.5
P14770_GPIX,47.5,47.5
P06753_TPM3,32.5,32.5
P04004_VTNC,57.5,57.5
P27348_1433T,40,40
P23229_ITA6,22.5,22.5
P00747_PLMN,5,5
P16671_CD36,25,25
P04275_VWF,27.5,27.5
P01009_A1AT,25,25
P04083_ANXA1,45,45
Q9HBI1_PARVB,100,100
P00338_LDHA,70,70
P08670_VIME,37.5,37.5
P48735_IDHP,65,65
P01023_A2MG,60,60
P23528_COF1,37.5,37.5
O95810_SDPR,47.5,47.5
P16284_PECA1,7.49999999999999,7.49999999999999
P08697_A2AP,45,45
P27797_CALR,17.5,17.5
P55072_TERA,27.5,27.5
P49913_CAMP,17.5,17.5
Q13418_ILK,45,45
P07237_PDIA1,12.5,12.5
O00299_CLIC1,12.5,12.5
Q06830_PRDX1,20,20
P01834_IGKC,12.5,12.5
P00558_PGK1,50,50
P60174_TPIS,2.50000000000001,2.50000000000001
P68371_TBB4B,45,45
P08758_ANXA5,20,20
P02776_PLF4,7.49999999999999,7.49999999999999
P07900_HS90A,75,75
O75083_WDR1,5,5
P62258_1433E,55,55
P61158_ARP3,27.5,27.5
O15144_ARPC2,52.5,52.5
P14780_MMP9,37.5,37.5
P62987_RL40,40,40
Q15084_PDIA6,12.5,12.5
P00491_PNPH,17.5,17.5
P29401_TKT,10,10
P23284_PPIB,27.5,27.5
P31146_COR1A,45,45
Q14764_MVP,10,10
P04179_SODM,20,20
P61626_LYSC,37.5,37.5
P62826_RAN,12.5,12.5
Q04917_1433F,42.5,42.5
Q9H299_SH3L3,7.49999999999999,7.49999999999999
P30740_ILEU,20,20
P47756_CAPZB,35,35
O43707_ACTN4,42.5,42.5
P11171_41,30,30
O00194_RB27B,10,10
P52566_GDIR2,77.5,77.5
Q00610_CLH1,7.49999999999999,7.49999999999999
P02775_CXCL7,5,5
P27824_CALX,47.5,47.5
P06703_S10A6,52.5,52.5
P14625_ENPL,62.5,62.5
P61160_ARP2,10,10
P50990_TCPQ,40,40
P50395_GDIB,65,65
P11215_ITAM,37.5,37.5
P20160_CAP7,0,0
P26038_MOES,25,25
P19367_HXK1,77.5,77.5
O15511_ARPC5,62.5,62.5
Q13228_SBP1,20,20
P08567_PLEK,27.5,27.5
P08133_ANXA6,70,70
P0DMV9_HS71B,97.5,97.5
Q9H0U4_RAB1B,75,75
Q6UX06_OLFM4,10,10
P12429_ANXA3,37.5,37.5
P00734_THRB,42.5,42.5
P11169_GTR3,20,20
P24844_MYL9,45,45
P05164_PERM,5,5
P40926_MDHM,37.5,37.5
Q9Y6C2_EMIL1,22.5,22.5
Q93084_AT2A3,20,20
P13796_PLSL,10,10
P09493_TPM1,55,55
P07437_TBB5,47.5,47.5
Q71DI3_H32,65,65
P01008_ANT3,55,55
P62158_CALM,0,0
P12259_FA5,10,10
P61981_1433G,27.5,27.5
P31946_1433B,37.5,37.5
Q08722_CD47,27.5,27.5
Q14254_FLOT2,42.5,42.5
O75955_FLOT1,47.5,47.5
P50552_VASP,27.5,27.5
P05556_ITB1,25,25
P37837_TALDO,57.5,57.5
P51148_RAB5C,50,50
P07738_PMGE,12.5,12.5
P02647_APOA1,77.5,77.5
O00151_PDLI1,22.5,22.5
O75390_CISY,15,15
Q9Y624_JAM1,0,0
P43304_GPDM,15,15
P07384_CAN1,57.5,57.5
P02749_APOH,10,10
P59998_ARPC4,25,25
P04196_HRG,5,5
P51149_RAB7A,20,20
P07359_GP1BA,2.50000000000001,2.50000000000001
P02724_GLPA,7.49999999999999,7.49999999999999
P12931_SRC,7.49999999999999,7.49999999999999
Q12913_PTPRJ,10,10
P11166_GTR1,77.5,77.5
Q9ULV4_COR1C,45,45
P07355_ANXA2,40,40
P04792_HSPB1,0,0
P0CG06_LAC3,60,60
Q99497_PARK7,47.5,47.5
P52907_CAZA1,37.5,37.5
P01024_CO3,17.5,17.5
P50995_ANX11,17.5,17.5
P68104_EF1A1,95,95
Q15907_RB11B,37.5,37.5
Q562R1_ACTBL,7.49999999999999,7.49999999999999
P01137_TGFB1,10,10
P50991_TCPD,25,25
P04843_RPN1,42.5,42.5
Q13576_IQGA2,50,50
Q9NR31_SAR1A,32.5,32.5
P13798_ACPH,27.5,27.5
P10599_THIO,72.5,72.5
P55084_ECHB,60,60
P01876_IGHA1,37.5,37.5
P61604_CH10,22.5,22.5
P52209_6PGD,77.5,77.5
P06744_G6PI,15,15
P21980_TGM2,0,0
P16104_H2AX,60,60
P22061_PIMT,62.5,62.5
P13716_HEM2,2.50000000000001,2.50000000000001
O75368_SH3L1,17.5,17.5
P09496_CLCA,52.5,52.5
P51659_DHB4,5,5
P05141_ADT2,30,30
P60953_CDC42,47.5,47.5
O14618_CCS,15,15
P00450_CERU,60,60
P20073_ANXA7,0,0
P80188_NGAL,20,20
Q15833_STXB2,12.5,12.5
P23219_PGH1,15,15
O15145_ARPC3,25,25
P05107_ITB2,60,60
Q9NY65_TBA8,37.5,37.5
P30405_PPIF,25,25
P61204_ARF3,45,45
P30044_PRDX5,62.5,62.5
P26447_S10A4,25,25
P16109_LYAM3,77.5,77.5
P30049_ATPD,50,50
P30086_PEBP1,7.49999999999999,7.49999999999999
Q9NR12_PDLI7,0,0
P61586_RHOA,2.50000000000001,2.50000000000001
P07203_GPX1,10,10
P40925_MDHC,45,45
P38646_GRP75,40,40
P17301_ITA2,5,5
P04899_GNAI2,60,60
Q14766_LTBP1,25,25
Q13404_UB2V1,30,30
P17987_TCPA,45,45
P01871_IGHM,7.49999999999999,7.49999999999999
P30048_PRDX3,12.5,12.5
Q8TDY3_ACTT2,12.5,12.5
Q9NRW1_RAB6B,25,25
P49368_TCPG,60,60
P01011_AACT,67.5,67.5
Q14697_GANAB,37.5,37.5
Q15942_ZYX,2.50000000000001,2.50000000000001
Q99798_ACON,0,0
P31948_STIP1,0,0
P40939_ECHA,7.49999999999999,7.49999999999999
P78371_TCPB,70,70
Q99685_MGLL,75,75
P18054_LOX12,0,0
P24557_THAS,17.5,17.5
P35232_PHB,45,45
Q3ZCW2_LEGL,12.5,12.5
P08311_CATG,50,50
P60842_IF4A1,65,65
P00568_KAD1,57.5,57.5
P28676_GRAN,17.5,17.5
O75131_CPNE3,35,35
P48059_LIMS1,20,20
Q8IZP2_ST134,40,40
Q06323_PSME1,22.5,22.5
Q99832_TCPH,65,65
P80511_S10AC,22.5,22.5
P61026_RAB10,17.5,17.5
O00161_SNP23,30,30
P48643_TCPE,77.5,77.5
P63241_IF5A1,70,70
P11279_LAMP1,35,35
P00738_HPT,52.5,52.5
P11413_G6PD,72.5,72.5
P40227_TCPZ,77.5,77.5
Q9NZN3_EHD3,47.5,47.5
Q9Y277_VDAC3,0,0
P30046_DOPD,2.50000000000001,2.50000000000001
P11310_ACADM,65,65
Q9HDC9_APMAP,22.5,22.5
P23368_MAOM,52.5,52.5
P62873_GBB1,35,35
P10768_ESTD,70,70
P09211_GSTP1,25,25
P04632_CPNS1,100,100
Q05315_LEG10,0,0
P15814_IGLL1,20,20
P00387_NB5R3,5,5
P00492_HPRT,17.5,17.5
P30153_2AAA,85,85
P15531_NDKA,52.5,52.5
