alpha,lambda,ROC,Sens,Spec
0.1,0.0104942743159907,1,1,1
0.1,0.0114859811328561,1,1,1
0.1,0.012571404044899,1,1,1
0.1,0.0137593992043069,1,1,1
0.1,0.0150596596678714,1,1,1
0.1,0.0164827944843058,1,1,1
0.1,0.018040415255298,1,1,1
0.1,0.0197452308765649,1,1,1
0.1,0.0216111512319183,1,1,1
0.1,0.0236534006863989,1,1,1
0.1,0.0258886423044884,1,1,1
0.1,0.028335113806918,1,1,1
0.1,0.0310127763753682,1,1,1
0.1,0.0339434775191823,1,1,1
0.1,0.0371511293329525,1,1,1
0.1,0.0406619035994109,1,1,1
0.1,0.0445044453295059,1,1,1
0.1,0.0487101064819718,1,1,1
0.1,0.0533132017693517,1,1,1
0.1,0.0583512886376378,1,1,1
0.1,0.0638654737039313,1,1,1
0.1,0.0699007481524004,1,1,1
0.1,0.0765063548250882,1,1,1
0.1,0.0837361900027288,1,1,1
0.1,0.0916492431537699,1,1,1
0.1,0.100310078239589,1,1,1
0.1,0.109789360502958,1,1,1
0.1,0.120164433037909,1,1,1
0.1,0.131519947845338,1,1,1
0.1,0.143948556523239,1,1,1
0.1,0.157551666227023,1,1,1
0.1,0.172440267067936,1,1,1
0.1,0.188735837700465,1,1,1
0.1,0.206571336487565,1,1,1
0.1,0.22609228633081,1,1,1
0.1,0.247457962016768,1,1,1
0.1,0.270842689767376,1,1,1
0.1,0.296437269597558,1,1,1
0.1,0.324450532085361,1,1,1
0.1,0.355111042256547,1,1,1
0.1,0.388668964485944,1,1,1
0.1,0.425398103631601,1,1,1
0.1,0.465598139055701,1,1,1
0.1,0.509597069760018,1,1,1
0.1,0.557753890586167,1,1,1
0.1,0.610461521316255,1,1,1
0.1,0.668150012572944,1,1,1
0.1,0.731290054676438,1,1,1
0.1,0.800396818087739,1,1,1
0.1,0.876034156773032,1,1,1
0.118367346938776,0.0104942743159907,1,1,1
0.118367346938776,0.0114859811328561,1,1,1
0.118367346938776,0.012571404044899,1,1,1
0.118367346938776,0.0137593992043069,1,1,1
0.118367346938776,0.0150596596678714,1,1,1
0.118367346938776,0.0164827944843058,1,1,1
0.118367346938776,0.018040415255298,1,1,1
0.118367346938776,0.0197452308765649,1,1,1
0.118367346938776,0.0216111512319183,1,1,1
0.118367346938776,0.0236534006863989,1,1,1
0.118367346938776,0.0258886423044884,1,1,1
0.118367346938776,0.028335113806918,1,1,1
0.118367346938776,0.0310127763753682,1,1,1
0.118367346938776,0.0339434775191823,1,1,1
0.118367346938776,0.0371511293329525,1,1,1
0.118367346938776,0.0406619035994109,1,1,1
0.118367346938776,0.0445044453295059,1,1,1
0.118367346938776,0.0487101064819718,1,1,1
0.118367346938776,0.0533132017693517,1,1,1
0.118367346938776,0.0583512886376378,1,1,1
0.118367346938776,0.0638654737039313,1,1,1
0.118367346938776,0.0699007481524004,1,1,1
0.118367346938776,0.0765063548250882,1,1,1
