mtry,ROC,Sens,Spec
2,1,1,0.555555555555556
3,0.962962962962963,1,0.555555555555556
4,1,1,0.555555555555556
5,0.975308641975309,1,0.666666666666667
6,1,1,0.666666666666667
7,1,1,0.666666666666667
8,0.987654320987654,1,0.666666666666667
9,0.975308641975309,1,0.666666666666667
10,1,1,0.666666666666667
11,1,1,0.666666666666667
12,1,1,0.666666666666667
14,1,1,0.777777777777778
16,1,1,0.666666666666667
18,1,1,0.666666666666667
20,1,1,0.666666666666667
22,1,1,0.777777777777778
25,0.987654320987654,1,0.777777777777778
28,1,1,0.777777777777778
32,1,1,0.777777777777778
36,1,1,0.666666666666667
40,1,1,0.777777777777778
45,0.987654320987654,1,0.777777777777778
51,0.987654320987654,1,0.888888888888889
57,0.975308641975309,1,0.777777777777778
64,1,1,0.888888888888889
72,1,1,0.777777777777778
81,1,1,0.777777777777778
91,0.987654320987654,1,0.888888888888889
102,1,1,0.777777777777778
115,0.987654320987654,1,0.777777777777778
129,1,1,0.888888888888889
145,0.987654320987654,1,0.777777777777778
163,1,1,0.777777777777778
183,1,1,1
206,1,1,0.888888888888889
231,1,1,0.888888888888889
259,0.993827160493827,1,0.888888888888889
291,0.962962962962963,1,0.888888888888889
327,0.950617283950617,1,0.888888888888889
367,0.975308641975309,1,0.888888888888889
413,0.938271604938272,1,0.888888888888889
463,0.932098765432099,1,0.888888888888889
520,0.962962962962963,1,0.888888888888889
584,0.962962962962963,1,0.888888888888889
