BT,M
RBM3,76.0330578512397,76.0330578512397
SF3B1,0,0
SRRM1,38.8429752066116,38.8429752066116
SRSF3,74.3801652892562,74.3801652892562
SRRM4,8.26446280991739,8.26446280991739
SFPQ,50.4132231404959,50.4132231404959
U2AF2,100,100
