class,L,N,T
N,0.346197674216595,0.484141946516997,0.169660379266408
N,0.00570896297687804,0.993474741767519,0.000816295255602849
N,0.0175016662725989,0.877146090719047,0.105352243008354
N,0.0718186908226808,0.923538388154912,0.00464292102240718
N,0.128718546082727,0.840187931526743,0.0310935223905296
N,5.18379369184097e-08,0.99999983109251,1.17069552965346e-07
N,0.000555446293947471,0.940434061534932,0.0590104921711205
N,0.0849285924446963,0.863957356352924,0.0511140512023794
N,0.0131472320299267,0.979733123190804,0.00711964477926976
N,0.206572747131813,0.792678950483839,0.000748302384347896
N,0.059383323286167,0.940355135875941,0.000261540837891766
N,0.146702970482469,0.793270602680486,0.0600264268370449
N,0.0032565115639225,0.996182409319631,0.00056107911644662
N,0.000254512792648477,0.986339647427569,0.0134058397797824
N,4.81146607027193e-09,0.999999995188376,1.57394450324481e-13
N,0.0366152149405191,0.963373484829218,1.13002302625661e-05
N,7.39617704735427e-11,0.999999999925988,5.04064915765447e-14
N,0.000232386955137212,0.990613737728159,0.00915387531670418
N,0.220523301789529,0.737812752409852,0.0416639458006195
T,0.0174191693499482,0.0628568650940215,0.91972396555603
T,0.195900516648137,0.104243394982482,0.699856088369381
T,0.0102494588039958,0.0836124917626227,0.906138049433381
T,0.0330709128332025,0.0369449939559265,0.929984093210871
L,0.903375045081885,0.0947594697664696,0.00186548515164561
L,0.534342784901989,0.241952678099851,0.223704536998159
T,3.26144584815727e-07,1.51467545524094e-06,0.99999815917996
T,0.0344893379282847,0.218710841660887,0.746799820410828
L,0.952892130439757,0.038420198641575,0.00868767091866813
T,0.125439523603772,0.0293718851784903,0.845188591217737
L,0.58228257863158,0.416962211209788,0.000755210158631817
T,0.0316025687022096,0.00616790251044469,0.962229528787346
T,0.137912527588268,0.0244278323824842,0.837659640029247
L,0.687973319299224,0.159905244809415,0.152121435891361
T,0.0886286553243801,0.0311135468253249,0.880257797850295
T,0.0274490933154384,0.0767941024913201,0.895756804193242
L,0.869695896901398,0.103385168922791,0.0269189341758111
T,0.0531921571992158,0.135142952823663,0.811664889977121
L,0.445323341788679,0.0727199829486046,0.481956675262716
