class,L,N,T
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0.5,0.25,0.25
T,0,0,1
T,0,0,1
T,0,0,1
T,0,0,1
L,1,0,0
L,1,0,0
T,0,0,1
T,0,0,1
L,1,0,0
T,0.5,0.25,0.25
L,1,0,0
T,0,0,1
T,0,0,1
L,0.5,0.25,0.25
T,0,0,1
T,0,0,1
L,1,0,0
T,0,0,1
L,0.5,0.25,0.25
