RNU4,RNU6,PRPF40A,SF3B1,SNRNP200,U2AF2,RNU12,ESRP1,ESRP2,KHDRBS1,MAGOH,NOVA1,PTBP1,RBM3,RBM45,SND1,SRRM1,SRRM4,SRSF2,SRSF3,SRSF4,SRSF5,SRSF9,SRSF10,TIA1,TRA2A,Class
7447440351,208416774,2256654.72,17033785.9,3736252841,1498567.9,250895.744,3413577.37,3076699.82,18939936.2,669542.019,5069612.59,1863954.83,5870100.32,3358714.2,8796710.12,19530964.5,86229.9811,1110914.16,18868059.6,2368415.8,164129586,43109364.7,14221254.1,6463711.48,62125680.7,N
6584197082,47628982.6,1415486.16,5280170.01,3346680013,631085.922,24285.6,2962838.05,1056821.47,10293650.7,574916.101,1097083.81,840347.718,3490812.63,1340141.58,2698430.36,18018148.8,65997.7318137381,633433.167,11825742.9,1226202.6,58074109.8,17480029.8,1212802.68,2207432.62,15190762,N
6421690910,166663439,975132.697,9677826.71,3806903625,942470.228,104864.1,4859418.63,2454155.75,12505954.7,553978.525,4579705.4,1447555.84,3775863.49,2157442.32,15123614,19764803.6,342389.403,969711.663,13676058.7,2235600.12,111745914,39220372.3,16899852.6,8257007.38,36675044.8,N
1.0906e+10,280277393,1801750.41,8016240.09,9296709243,2085616.3,335188.125,4366309.44,1878713.65,10212852.5,662644.026,3060651.34,2093297.34,4517309.05,2204517.43,9299973.63,17895964.3,155539.994,768139.322,11124226,2137934.95,57218350.7,42249437.1,18728171.4,6459126.08,23000937.5,N
8884942698,149883697,1708690.45,10586263.8,6054561136,1140944.89881816,69787.7472,4556424.99,1512963.03,16267051.2157289,665838.115,3764069.33620714,1566756.02882078,6181536.67110052,3880734.07931098,6883205.04,24509159.5,158012.401,1230221.24,17321154.9001764,2559228.47612786,123199081.314949,32645897.9057164,11864587.9279674,6676481.95060134,40268453.7,N
6196685210,137747479,1282263.64,10263715.4,4058602139,1221067.56,166933.228,3758583.1,1264575.53,13839128.1,648066.725,2784253.71,1156684.72,5960847.64,4412003.25,3585652.05,15355335.6,58730.4947,658814.542,13050071.7,3276749.74,92391838.6,20715540.6,5950213.71,4970202.31,36489667.3,N
1.6727e+10,209749643,1154913.77,10617937,7190768276,512730.679,281632.59,2157436.03,1190688.72,14248706.8,744868.956,2149515.48,1280054.53,5201336.92,4038390.84,3032028.56,21817742,77713.6195,742328.947,14584165,1520702.34,104908213,35817291.6,5802541.48,5211243.07,33102578.1,N
1331980432,31644765.8,202422.063,2058735.05,1707555404,111492.731,111352.36,2950083.14303278,395670.055,2948814.91,146292.16,961583.223,288273.447,2273422.81,716181.808,1786806.85,13597541.9,2488.07315,82618.8349,2856018.82,197504.236,17755741.5,9878034.09,294882.733,1204773.78,7711188.38,N
1.0272e+10,121720610,2194297.22,12080103.7,3688828132,1540749.45,97549.8483,4101448.09,1830940.56,25512537.3,994249.119,5485665.73,2202356.04,7845384.16,7039366.92,7216035.2,20215499.7,81458.9951,743954.957,25964308.8,4942601.75,133568106,37092213.2,17698163,13119829.7,53824050.8,N
1.2254e+10,140171807,687441.186,4287007.12,5187799566,281704.983,111293.512,2611544.36,1636759.43,10071482.3,454997.201,2327170.55,375928.443,2480402.81,1231303.2,2825188.15,10538399.1,74013.0857,166493.162,9538706.85,360380.172,64285025.2,22477915.1,2030012.78,2223695.79,14777990.5,N
709215060,68115110.5,440230.136,3432530.25,1966751105,239396.719,386443.894,1913902.58,644567.781,8791619.46,371485.626,1727964.88,746436.024,6033828.44,1147682.25,2639371.79,7098032.59,51937.0618309164,224972.88,6572462.02,670233.63,65231287.7,13335052.5,6877896.05,2469268.26,23232711.6,N
1.608e+10,254190478,4117628.84,18518304.4,1.1663e+10,1286668.7851884,250806.585,4368235.54,1805941.13,34680324.3,2413299.88,6420950.02,2915082.38,6369781.51525085,5552473.31,9600021.72,22156201.8,220193.481,1774445.75,30346459.7,3099875.92557472,186904027,51056774.1,27996587.9,10505260,50697998.7,N
1.903e+10,180689097,2332857.15,12384996.1,4791394936,1011582.22,79821.8056,2990075.42,1049398.04,22539370.2,664107.866,3852574.56,2097719.25,6706032.74,5402154.3,6449899.12,21602931.6,73149.3473,602462.808,21158426,1947006.45,124946342,35594999.3,14043078.2,6272763.5,30728024.5,N
1900234768,39305293.8,186540.436,1150719.94,2460877399,69094.9769,22537.2166,3087061.29,268487.845,1527041.01,26423.8162,410418.346,36773.2636,1039962.65,121976.5,939199.029,10647145.1,40782.6402,20674.4755,1771996.48,10749.4809,8662115.91,2763250.93,379387.095,284931.291,3119442.97,N
1.198e+10,271792317,2948881.89,12238791.2,5105830410.35809,1387781.72,255121.732,10067663.5,1276038.56,17296118.1,1416012.95,6127547.31,2170368.49,4422860.09,7503605.51,13076869.8,17083819.5,125988.778081112,1008023.41,16506566.8,2038176.17,87680226.9,33852491.8,14360415.98395,5091281.09,41188886.6,N
5485498320,135054130,398780.08,2667448.2,4070440828,193945.579,794281.086,3339338.76,1115539.24,3887602.03,303965.767,1433365,474611.157,1030114.63,777202.338,1596114.78,7745531.31,122869.439,238295.351,3192810.59,577925.984,19339336.8,11683057.5,1729904.05,1164042.79,9971274.19,N
2.1202e+10,398593340,3196486.02,19567064.3,8880333871,2355242.88,210604.914,5539085.38,1846236.57,33851836.3,2108060.67,8649851.34,3370649.69,8520952.05,8166085.3,7843467.0454282,27541084.1,349095.337,1964406.79,28415010.6,3212338.45697924,253362699,60918011.4,24171247.8,10488633.9,67717852.9,N
1719799691,67056440.8627277,539.637115,2170978.73673964,2697990522.33219,33195.72,217202.538197852,3200289.76346033,127588.275,1771230.84,254758.055175133,439213.119,246828.903,1702382.71371956,3498.55117,1005712.19,878061.185,45251.6948186135,234421.318938646,1840154.46,376794.994994256,25697683.552905,1269496.32,1875843.41617145,286153.969,11832525.6899826,N
2.1463e+10,288378964,1568562.24,17508254.8,8678321624,999309.36,128738.534,3216012.31,2045126.1,27430736.6,843835.913,11040020.7,1799265.78,6943579.59,4871645.81,6869991.96,28854787.1,77278.4523,1653511.62,37958436,3171692.37,148046376,59149911.5,16424382.3,8687066.18,51185951.5,N
2.2553e+10,62821559.1,558387.778,5624459.68,2891965781,585535.211,29049.137,2977091.29,277611.911,10102609.5,524954.316,2245484.29,965530.552,3814491.62,3063842.45,4520900.11,14791446.7,22644.2264,304535.518,10929797.3,1155841.36,77557303.7,19349215.8,4906213.17,3238380.87,20464300.5,N
9931351485,516907409,10004223.9,12852261.911543,4728336176,1346866.00082361,1009636.49,3336713.8129556,5989869.95,20699238.1890451,749404.154326049,17425586.4,1911540.20970571,5940735.24610015,4083995.57473875,7928590.81314476,21797739.1409756,183016.732,2626442.9,24755316.3560183,2993320.98396219,146844809.567043,44140626.3797811,15270540.4991365,7790788.55791504,44088683.4091912,N
2351990059,102667419,473963.957,5082352.35,3864787048,281927.96,171307.453,1692833.64,388162.632,9757503.85,313843.658,1910960.24,671653.646,5281761.74,903561.143,1867003.84,8858150.8,16920.934,178306.088,6024196.68,590849.947,60412847.2,17450106.2,7280516.1,1203123.68,18754319.4,N
1.7628e+10,280214917,3081680.73,19892771.6,7657509139,1211406.21247734,110414.755,3116414.9,1030456.72,22313296.5721064,1158722.93,6745430.86757386,2902722.05,6414374.99239559,4587506.72916356,6946803.01,29680314.6,48696.5763,1265515.63,27239132.6660606,2963023.55942862,144053459.268917,50179793.1,14576868.623765,9406764.15,56500753.9,N
2.0706e+10,228036887,3406783.96,15137179.1,6118912396,1619204.37,62752.0431,4493588.95,1412121.27,29003931.9,1166478.5,7064617.11,3110175.46,7653092.95,4809924.39169951,6366703.44,35871869.8,207235.034,1211651.08,33519923.9,3254162.04594267,156492462,71215960,32307501.5,9444816.46,60772140.1,N
2911541871.87091,114497354.149736,150611.245,4252.61447,3386237681.58293,757647.218,263509.644089075,3829287.94784828,1064829.05,280.149497,1592056.65,33845.8443,438322.381682513,3907569.78,639140.675,4265.98315,5238293.51,48240.3727,2559377.77,4046225.03130837,852009.42963445,48560476.284927,11990857.5211545,3504444.80326054,1485149.3,65.6486691,N
1.0261e+10,222990908,1055777.82,9443828.05,5755177521,759741.15,104004.228,4621964.8,1372873.27,18760841.6,605768.331,5083867.59,1840509.05,9126208.07,6346848.36,4144237.09,31422904,201222.81,630928.359,16776065.5,1718698.38,107358082,32970127.1990077,6522480.47,5132084.93,47701631,N
1.815e+10,295027863,2082295.63,9854851.29,3213439520,745700.114,74581.0568,4962398.28,1455323.34,17245093.2,566280.549,12908325.3,977689.622,6270250.58,3151721.54,4504832.56,21990286.1,96189.8147794201,1103040.04,17483733.6,2492920,78760542.4,51330807,12043762.6190182,4258019.25,46128521.8,N
1.0293e+10,142790463,248254.533,6682264.22,3599132758.19868,791783.419,146069.595,5530172.03,664617.817,5698434.6,711410.339,3642854.03,852751.767,2374781.11,2075806.72,5437284.04,12305350.7,236027.426,736721.828,9065761.22,1991705.66,136300929,12313457.6,5454719.79,1801466.24,33858049.5,N
4053979339,223657024.674781,3033601.16,20560913.9,8661372970,1345013.12302557,180811.883172142,5475717.25,3002521.14,29851125.3,2497258.33,10864100.1,3929562.27,9278565.01,4843164.42,13579034.4,25694478.6,83316.1705415488,3724493.39,25230823.5,3243455.76947689,154294539.59816,61603723.3,16374902.029925,10700241.2,109436866,N
407926414,83490119.9,275626.904,2339780,2399629991,207533.839,294959.098,2698359.96,527258.778,3726335.46,355608.931,695121.646,312827.436,2505923.54,457820.101,1541776.46,6814001.47,28635.5553,393853.972,1864118.51,547865.537,50969343.7,7725793.64,2257936.93,690954.906,21533372,N
