RBM3,SF3B1,SRRM1,SRSF3,SRRM4,SFPQ,U2AF2,Class
-0.122032099,0.614463978,0.993361534,0.089613461,-1.023997549,-0.100535625,-0.481403018,BT
0.600890491,0.632007469,0.323561976,0.375266496,-0.094151532,-0.274121939,-0.218021781,BT
0.536469564,0.717722386,0.71900517,0.103818743,0.550740166,-0.298000769,-0.361784128,BT
0.391139168,0.724431999,1.041781821,-0.185135155,0.341178259,-0.914271856,-0.204113013,BT
0.295773502,0.513844357,0.602425607,-0.446771478,-0.800207102,-0.158710214,-0.227308816,BT
-0.112542394,0.418185756,0.207089951,0.227210725,-0.589612756,0.248172887,-0.145663814,BT
-0.126115216,0.539461401,-0.158938413,0.295770285,-0.832546296,0.618395778,-0.394734159,BT
0.253018851,0.882638592,0.989760902,0.054445336,-0.783085826,0.169013366,-0.215643875,BT
0.53647438,0.605947345,-0.381079156,-0.447772021,-0.901304326,0.286654083,-0.377380278,BT
0.172591174,0.312275605,-0.138058748,-0.001217991,-0.412360933,0.278706414,-0.269955008,BT
0.801211,0.880084937,0.731520876,0.294317345,-1.667219826,-0.528251042,-0.351008152,BT
-0.040980904,0.697198391,-0.369506876,0.409284799,-0.287157874,-0.155215619,-0.505376176,BT
0.622575198,1.174971064,-0.080162611,0.39775243,-0.999208167,-0.044432332,-0.978589456,PT
0.621452429,0.784651617,-0.097072353,0.220332528,-1.614629955,-0.091063278,-0.336342837,PT
-0.186686705,0.990239138,-0.115687966,0.412132426,0.423472041,-0.248263978,-0.620844234,PT
0.174665614,1.01812531,0.464567986,0.068832672,-0.306408734,0.051406652,-0.69826748,PT
0.273293744,1.017133112,0.177147433,0.327551198,-0.745081224,-0.61015471,-0.650273607,PT
1.030826576,1.017623773,0.335830972,0.406698407,-0.701290818,-0.43809371,-0.502567868,PT
0.748511833,0.733638322,0.297025234,0.028627898,-1.019398313,-1.178137024,-1.184211196,PT
0.534147034,0.648265275,0.196681423,0.196583461,-0.356128123,-0.600624545,-0.359420579,PT
0.27969337,0.772617297,0.271782947,0.135698035,-0.234544835,-0.611924805,-2.66692932,PT
0.664103026,1.02624501,0.06862604,0.364279316,-0.354533228,-0.85854519,-0.45981045,PT
0.67653211,1.049930222,0.320392334,0.384308813,0.271022985,-0.179953382,-0.507330836,PT
0.394765448,0.729981917,-0.081598858,0.219832351,-0.310709324,-1.047229429,0.187356211,PT
0.922214968,1.031837442,-0.030561648,0.148158841,0.393190012,-0.895633675,-0.623194177,PT
0.595109587,0.711240312,-0.116010836,0.241962673,0.561217293,-0.273813653,-0.638232029,PT
-0.057515709,0.334559659,0.036329705,0.752787699,-1.918929851,-0.358718114,0.028544963,PT
-0.441159667,0.538320372,0.514213764,-0.709025519,-1.980240403,-0.14211808,-0.047045913,PT
0.283330956,0.708185142,0.700312467,-0.458413153,0.115312113,-0.69290266,0.056387092,PT
