RBM22	0.004043126684636118
INSULINA-BASAL	0.0040823662318989415
U4ATAC	0.03648066798304851
HOMA-IR	0.044732066558023184
SOCS2	0.15785653246418543
Protrombina	0.18725203997201884
GHR	0.1898459678216335
Hb	0.24419051236191072
Hierro	0.2643144415098215
U6	0.29354795266451056
MOGAT2	0.2971318797584006
Hcto	0.30991055320979494
MOGAT1	0.31339410457290906
IGFBP1	0.33085604221206416
Haptoglobina	0.3356502428976419
SRM160	0.3434446218567185
Proteinas-T	0.34467969871778725
sst1	0.3521756633421243
IGFBP3	0.3523234171929287
IST	0.3876172099809906
IGF1	0.3917786850779268
ICC	0.4159232145037118
U6ATAC	0.4166048684167182
U2	0.4515917207461908
ALT	0.4614733045124511
U11	0.4850763766298945
SRSF6	0.48573642456996363
sst5	0.4896363026851477
HbsAgHBcAc	0.49794132864138163
TIA1	0.49929635256297217
Transferrina	0.4997480917953498
SF3BTV2	0.5124401475794528
SRSF1	0.5149224122729678
Albumina	0.5156507660916054
U2AF1	0.5167979173004741
Cintura	0.520268437258386
Hb-A1	0.5264338905672004
SAM68TV1	0.5268870831161433
TRA2A	0.5394447071179569
SRSF4	0.5415634004507219
U2AF2	0.544191965678476
Ceruloplasmina	0.5482825673709116
GGT	0.5485538531297657
RBM45	0.5495203086456834
Ghelin	0.5503457924547679
SC35	0.5582162283140947
SRSF10	0.5600951244135868
EGFR	0.561801802500092
SND1	0.5630015153247386
U1	0.5665054615636523
ESRP2	0.5702550183020999
U4	0.5713779475682138
ESRP1	0.5736221105644488
Filtracion-glomerular	0.5848124058977524
IGFALS	0.5859835368299484
HEMATIES	0.599704298522849
GLUCOSA	0.6005060448280339
PTB	0.6050132639358524
CREATININIO	0.6169161688250033
AST	0.6170552027764159
TRA2B	0.620618977213934
SF3BTV1	0.627515933193944
Proteina-C-Reactiva	0.6305126719515716
EDAD	0.6349782293178519
UREA	0.6358322950193872
PSF	0.6489959520289268
FA	0.6506161577797973
CORT	0.6515012275680588
TIROXINA	0.6527019092704157
TSH	0.6529492153059424
VCM	0.6534104010959946
SRSF3	0.6590717957760807
Plaquetas	0.6740288454271879
SRSF5	0.6757885695683262
CA150	0.6766130844997005
RAVER1	0.6792653872313543
NOVA1	0.6906475203512763
IMC	0.6929839689494071
PTTG1	0.6968539087433463
SRSF9	0.7021761962248648
BILIRRUBINA	0.702542431999318
Cadera	0.7065107128808416
BI	0.7086417594044114
Ferritina	0.7097181825404361
Trigliceridos	0.7102745605655146
PRP8	0.7117954563510903
PESO	0.7170584000728597
DIABETES	0.7206405831868713
Cobre	0.7219815099377788
FB11	0.7334084536517969
Colesterol	0.7478837288615106
BD	0.7547993357374418
U5	0.756557606562015
LDL	0.7722706230465003
GOAT	0.7732860068867827
TALLA	0.7737421060688563
MAGOH	0.7754754282923917
In1-ghrelin	0.7762931610797948
sst2	0.7769222049331378
CELF4	0.7854686752147517
sst5TMD4	0.7888401274267964
HDL	0.7952846175161463
SKIP	0.8079727977894086
RBM3	0.833448468301228
p53	0.8490672614283971
U12	0.8520426848764002
Akt1	0.8668977601485094
CUGBP	0.8695960845713976
RBM17	0.9204275269783999
