ID,NumberAtts,Atts,AUCRF,AUCLogistic
1,2,Q9HBI1_PARVB P62333_PRS10,1,1
2,3,Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B,1,1
3,4,Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B,1,1
4,5,Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU,1,1
5,6,Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A,1,1
6,7,Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4,1,1
7,8,Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH,1,1
8,6,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4,1,1
