class,N,S
0,0.964,0.036
0,0.732,0.268
0,0.96,0.04
0,0.996,0.004
0,0.746,0.254
0,0.47,0.53
0,0.984,0.016
0,0.976,0.024
0,1,0
0,0.546,0.454
0,0.994,0.006
0,0.966,0.034
0,1,0
0,0.544,0.456
0,0.908,0.092
0,0.706,0.294
0,0.81,0.19
0,0.346,0.654
0,0.892,0.108
0,0.908,0.092
0,0.99,0.01
0,0.97,0.03
0,0.908,0.092
0,0.982,0.018
0,0.846,0.154
0,0.864,0.136
0,0.732,0.268
0,0.924,0.076
0,0.862,0.138
0,0.96,0.04
0,0.978,0.022
0,0.776,0.224
0,0.998,0.002
0,0.91,0.09
0,0.862,0.138
0,1,0
0,0.97,0.03
0,0.818,0.182
0,0.91,0.09
0,0.612,0.388
0,0.998,0.002
0,0.996,0.004
0,0.922,0.078
0,0.882,0.118
0,0.724,0.276
0,0.892,0.108
0,0.952,0.048
0,0.978,0.022
0,0.97,0.03
0,0.346,0.654
0,0.966,0.034
0,0.992,0.008
0,0.746,0.254
0,0.62,0.38
0,0.99,0.01
0,0.92,0.08
0,0.966,0.034
0,0.972,0.028
0,0.984,0.016
0,0.998,0.002
0,0.974,0.026
0,0.99,0.01
0,0.986,0.014
0,0.984,0.016
0,0.714,0.286
0,0.732,0.268
0,0.776,0.224
0,0.908,0.092
0,0.992,0.008
0,0.974,0.026
0,0.982,0.018
0,0.998,0.002
0,0.986,0.014
0,0.876,0.124
0,0.582,0.418
0,0.876,0.124
0,0.732,0.268
0,0.716,0.284
0,0.99,0.01
0,1,0
0,0.992,0.008
0,0.826,0.174
0,0.546,0.454
0,0.584,0.416
0,0.862,0.138
0,1,0
0,0.754,0.246
0,0.978,0.022
0,0.986,0.014
0,0.492,0.508
0,0.89,0.11
0,1,0
0,0.996,0.004
0,0.984,0.016
0,0.97,0.03
0,0.966,0.034
0,0.984,0.016
0,0.994,0.006
0,0.962,0.038
0,0.986,0.014
0,0.996,0.004
0,0.746,0.254
0,0.964,0.036
0,0.546,0.454
0,1,0
0,0.978,0.022
0,0.984,0.016
0,0.82,0.18
0,0.896,0.104
0,0.924,0.076
0,0.976,0.024
0,0.996,0.004
0,0.33,0.67
0,0.932,0.068
0,0.994,0.006
0,0.978,0.022
0,0.964,0.036
0,0.922,0.078
0,0.982,0.018
0,0.992,0.008
0,0.984,0.016
0,0.996,0.004
0,0.942,0.058
0,0.86,0.14
0,0.716,0.284
0,0.746,0.254
0,0.936,0.064
0,0.972,0.028
0,1,0
0,0.732,0.268
0,0.978,0.022
0,0.986,0.014
0,0.834,0.166
0,0.854,0.146
0,0.908,0.092
0,0.986,0.014
0,0.924,0.076
0,0.962,0.038
0,0.908,0.092
0,0.732,0.268
0,0.728,0.272
0,0.984,0.016
0,0.984,0.016
0,0.62,0.38
1,0.196,0.804
1,0.346,0.654
1,0.612,0.388
1,0.03,0.97
1,0.032,0.968
1,0.086,0.914
1,0.374,0.626
1,0.732,0.268
1,0.128,0.872
1,0.318,0.682
1,0.544,0.456
1,0.492,0.508
1,0.908,0.092
1,0.328,0.672
1,0.382,0.618
1,0.114,0.886
1,0.328,0.672
1,0.346,0.654
1,0.62,0.38
1,0.776,0.224
1,0.546,0.454
1,0.546,0.454
1,0.01,0.99
1,0.228,0.772
1,0.33,0.67
1,0.716,0.284
1,0.346,0.654
1,0.342,0.658
1,0.128,0.872
1,0.294,0.706
1,0.584,0.416
1,0.158,0.842
1,0.35,0.65
1,0.032,0.968
1,0.03,0.97
1,0.62,0.38
1,0.022,0.978
1,0.33,0.67
1,0.184,0.816
1,0.908,0.092
1,0.732,0.268
1,0.022,0.978
1,0.03,0.97
1,0.086,0.914
1,0.278,0.722
1,0.24,0.76
1,0.232,0.768
1,0.582,0.418
1,0.334,0.666
1,0.072,0.928
1,0.732,0.268
1,0.862,0.138
1,0.746,0.254
1,0.47,0.53
1,0.546,0.454
1,0.298,0.702
1,0.01,0.99
1,0.032,0.968
1,0.274,0.726
1,0.308,0.692
1,0.072,0.928
