Index,Var,Importance
9,ESRP2,5.461341589
2,RNU6,4.615207895
23,SRSF9,4.434511477
22,SRSF5,4.152118483
25,TIA1,4.108247047
24,SRSF10,3.254052545
8,ESRP1,3.196527193
26,TRA2A,2.906301472
4,SF3B1,2.886567602
5,SNRNP200,2.843721812
21,SRSF4,2.639157133
14,RBM3,2.578078347
15,RBM45,2.532197619
16,SND1,2.234404831
17,SRRM1,2.13998343
10,KHDRBS1,2.010323847
11,MAGOH,1.850114377
6,U2AF2,1.72271574
3,PRPF40A,1.660328943
13,PTBP1,1.472462847
7,RNU12,1.351895378
1,RNU4,1.31980837
20,SRSF3,1.2858072
19,SRSF2,1.272789289
12,NOVA1,0.259924802
18,SRRM4,0.1290612
