FBP11,RBM22,Raver1,Ca150,U2,SND1,SRSF1,SRSF9,PRP8,PTB,RBM17,SF3btv2,RBM45,Sam68tv1,U5,PSF,ESRP2,CUGBP,U6,U1,U12,ESRP1,Sf3btv1,U2af2,Tra2B,SRM160
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,False
True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True
False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,False,True,True,True,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False
False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False
False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
