class,N,T
N,0.328450836021498,0.671549163978502
N,0.778506939457437,0.221493060542563
N,0.52351401977709,0.47648598022291
N,0.453478867954487,0.546521132045513
N,0.397637707213536,0.602362292786464
N,0.985448572729014,0.014551427270986
N,0.544963248230297,0.455036751769703
N,0.373148113884017,0.626851886115983
N,0.626589195822904,0.373410804177096
N,0.38435745131939,0.61564254868061
N,0.410977294575776,0.589022705424224
N,0.40075897181144,0.59924102818856
N,0.617140431495791,0.382859568504209
N,0.585221950016341,0.414778049983659
N,0.680859544587992,0.319140455412008
N,0.776137889227771,0.223862110772228
N,0.935534391816853,0.0644656081831471
N,0.895395016821386,0.104604983178614
N,0.483266172971847,0.516733827028153
T,0.283008632080854,0.716991367919146
T,0.392741489071069,0.607258510928931
T,0.348562932769796,0.651437067230204
T,0.365771666389071,0.634228333610929
T,0.437643165364268,0.562356834635732
T,0.412304758447145,0.587695241552855
T,0.309606056922423,0.690393943077577
T,0.478124526216243,0.521875473783757
T,0.417080943407161,0.582919056592839
T,0.272371056347845,0.727628943652155
T,0.362741038174205,0.637258961825795
T,0.305233147298704,0.694766852701296
T,0.253784856265555,0.746215143734445
T,0.37815341186364,0.62184658813636
T,0.342756392124056,0.657243607875944
T,0.362669512807823,0.637330487192178
T,0.520113754670586,0.479886245329414
T,0.347351452992339,0.652648547007661
T,0.33339135764418,0.666608642355821
