pred,obs,N,T,rowIndex,iter
T,N,0.107974729799443,0.892025270200557,1,1
N,N,0.961763016583843,0.0382369834161574,2,1
N,N,0.89237400562257,0.10762599437743,3,1
N,N,0.859693629150175,0.140306370849825,4,1
T,N,0.185175375892861,0.814824624107139,5,1
N,N,0.999627781275618,0.000372218724381681,6,1
N,N,0.532382230756763,0.467617769243237,7,1
T,N,0.353542097597771,0.646457902402229,8,1
N,N,0.912913930601011,0.0870860693989893,9,1
N,N,0.637192545342777,0.362807454657223,10,1
N,N,0.832890222614493,0.167109777385508,11,1
N,N,0.815812675106895,0.184187324893105,12,1
N,N,0.922916026112744,0.0770839738872561,13,1
N,N,0.882592773837259,0.117407226162741,14,1
N,N,0.920670908780648,0.0793290912193524,15,1
N,N,0.959815708024782,0.0401842919752176,16,1
T,N,0.000138423999406262,0.999861576000594,17,1
N,N,0.982293624791853,0.0177063752081467,18,1
T,N,0.18396501144418,0.81603498855582,19,1
T,T,0.110536725640012,0.889463274359988,20,1
N,T,0.60893886366014,0.39106113633986,21,1
N,T,0.804096627220336,0.195903372779664,22,1
T,T,0.153456010652116,0.846543989347884,23,1
N,T,0.878624792207411,0.121375207792589,24,1
T,T,0.0307725584063513,0.969227441593649,25,1
T,T,0.136962746749083,0.863037253250917,26,1
T,T,0.234905682138264,0.765094317861736,27,1
T,T,0.182984304607559,0.817015695392441,28,1
T,T,0.10356259326483,0.89643740673517,29,1
N,T,0.995626708819113,0.00437329118088648,30,1
T,T,0.119704765484339,0.880295234515661,31,1
T,T,0.263736493129911,0.736263506870089,32,1
T,T,0.389924601787161,0.61007539821284,33,1
T,T,0.354243396283024,0.645756603716976,34,1
N,T,0.8320987030828,0.1679012969172,35,1
T,T,0.26280958703356,0.73719041296644,36,1
T,T,0.140689092999984,0.859310907000016,37,1
T,T,0.132903144524102,0.867096855475898,38,1
