shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.123483020617627,1,8,413,0.504191919191919,0.528484848484848,0.466666666666667,0.0960911223499631,0.116242426421636,0.134572783176625
0.344397627654485,4,21,1461,0.584259259259259,0.562727272727273,0.547407407407407,0.105950496270208,0.126110908499302,0.145016061215649
0.531194514200091,3,12,1525,0.510740740740741,0.52,0.456296296296296,0.102074490707165,0.126878026575976,0.152597304295569
0.467053401048062,2,7,1867,0.508151515151515,0.518787878787879,0.45962962962963,0.107859029384598,0.148804169046948,0.156741058214532
0.141554539983161,4,10,2207,0.499468013468013,0.532727272727273,0.463333333333333,0.0980228028778276,0.125072791572718,0.138659580819055
0.0308841303065419,1,23,2522,0.548855218855219,0.569090909090909,0.507037037037037,0.118546699308422,0.124501857229884,0.153252889479963
0.591749858159572,3,7,2527,0.484949494949495,0.528787878787879,0.430740740740741,0.103352205248836,0.143582850500078,0.14296868681426
0.437042320685461,1,5,3092,0.482414141414141,0.518181818181818,0.477407407407407,0.108832108327155,0.114370668257931,0.125181293250768
0.0400542608681135,2,22,3292,0.559195286195286,0.586060606060606,0.510740740740741,0.122604172698594,0.139406659725816,0.135910073859626
0.0498489127482753,9,16,3292,0.546151515151515,0.552727272727273,0.54037037037037,0.110634382591623,0.117792945940844,0.11246240877403
0.572505003499566,9,23,3475,0.55047138047138,0.564848484848485,0.491111111111111,0.128018119705902,0.151213074002899,0.145205774337004
0.18903537387168,1,14,3861,0.53086531986532,0.568484848484848,0.515185185185185,0.119893916789714,0.12484777469845,0.142754133836473
0.530570658132201,1,23,4708,0.555818181818182,0.559393939393939,0.539259259259259,0.105537648867192,0.144249185409184,0.136978690419576
0.268496200634399,7,7,4766,0.514887205387205,0.34,0.683703703703704,0.108131850956284,0.149008311090387,0.146615959344656
0.305368345067371,2,23,4902,0.577525252525253,0.548484848484848,0.538888888888889,0.127734743146522,0.128948513749683,0.167615434893312
