degree,nprune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,3,0.501575757575758,0.509090909090909,0.481111111111111,0.09894613669528,0.323858892887222,0.319550956755552
1,4,0.501575757575758,0.505757575757576,0.488518518518519,0.101578650182832,0.316943252891332,0.30770554408224
1,5,0.504538720538721,0.495757575757576,0.49962962962963,0.0991094437471926,0.321826269608919,0.307926825790077
2,5,0.531175084175084,0.547575757575758,0.472592592592593,0.0949549324548312,0.309824717480527,0.308482785681814
1,6,0.504538720538721,0.495757575757576,0.49962962962963,0.0991094437471926,0.321826269608919,0.307926825790077
2,6,0.531175084175084,0.547575757575758,0.472592592592593,0.0949549324548312,0.309824717480527,0.308482785681814
2,9,0.531175084175084,0.547575757575758,0.472592592592593,0.0949549324548312,0.309824717480527,0.308482785681814
1,10,0.504538720538721,0.495757575757576,0.49962962962963,0.0991094437471926,0.321826269608919,0.307926825790077
2,10,0.531175084175084,0.547575757575758,0.472592592592593,0.0949549324548312,0.309824717480527,0.308482785681814
1,11,0.504538720538721,0.495757575757576,0.49962962962963,0.0991094437471926,0.321826269608919,0.307926825790077
2,12,0.531175084175084,0.547575757575758,0.472592592592593,0.0949549324548312,0.309824717480527,0.308482785681814
2,13,0.531175084175084,0.547575757575758,0.472592592592593,0.0949549324548312,0.309824717480527,0.308482785681814
