mstop,prune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
237,no,0.547909090909091,0.58030303030303,0.477407407407407,0.104348433476817,0.108095862517919,0.156033293031096
249,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
262,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
267,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
279,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
358,no,0.538063973063973,0.58030303030303,0.462962962962963,0.101568630268689,0.111240148624077,0.15374793559502
458,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
642,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
682,no,0.526501683501683,0.576666666666667,0.462962962962963,0.0996086000109603,0.110252006295496,0.150953640436221
731,no,0.523720538720539,0.57,0.462592592592593,0.0997746814505426,0.108571123233703,0.154773164696882
772,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
813,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
825,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
922,yes,0.60147138047138,0.612727272727273,0.518518518518518,0.124552760051465,0.153158072817947,0.150586573647541
932,no,0.519356902356902,0.56,0.462222222222222,0.105241622373707,0.113082663570629,0.157988634668911
