mtry,coefReg,coefImp,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.114150255685672,0.286630739923567,0.557878787878788,0.586666666666667,0.521851851851852,0.109278166135381,0.149316545623712,0.183701206055612
1,0.40084062423557,0.791736165294424,0.53396632996633,0.527878787878788,0.528888888888889,0.120301958265594,0.103292431928859,0.144181901098968
1,0.603472933638841,0.97443146747537,0.5376632996633,0.534848484848485,0.533333333333333,0.118747884397989,0.120748197881898,0.124071691328791
1,0.824388499138877,0.603612489532679,0.533739057239057,0.531515151515151,0.525185185185185,0.126152904944616,0.111333617176797,0.138314777666799
1,0.920952252810821,0.12163277855143,0.523372053872054,0.514848484848485,0.517777777777778,0.11659816028994,0.124933344059423,0.145475249116738
1,0.974102763459086,0.536188662750646,0.536888888888889,0.541212121212121,0.532222222222222,0.115850259354727,0.0985715396925074,0.140525983895687
2,0.437042517121881,0.870195499621332,0.531929292929293,0.544545454545455,0.538888888888889,0.119935083480443,0.0952670198582399,0.13877006411295
2,0.67836545035243,0.244266490219161,0.534175084175084,0.537878787878788,0.532592592592593,0.118425221526584,0.108227601105787,0.124275108288378
3,0.196468490408733,0.234912187093869,0.499436026936027,0.500606060606061,0.504444444444444,0.154360072852107,0.173655866116324,0.140594129457718
3,0.564889241475612,0.829709850950167,0.52773063973064,0.524848484848485,0.547037037037037,0.121713889410698,0.116075597003098,0.137318581376515
3,0.728774961316958,0.72684554127045,0.532715488215488,0.511515151515151,0.525555555555556,0.120340170898808,0.12109817005289,0.143071875347807
3,0.979288179194555,0.706841882551089,0.530481481481481,0.527878787878788,0.542592592592593,0.126506454734826,0.115879019599896,0.152322262993971
4,0.277116204611957,0.230092903831974,0.473420875420875,0.52030303030303,0.443703703703704,0.164150016618525,0.179287773239376,0.187405337723744
4,0.915137973381206,0.404755160678178,0.532713804713805,0.534545454545455,0.514444444444444,0.125572010219402,0.114006294417081,0.144669732945357
4,0.956177247222513,0.738546476233751,0.535840067340067,0.531212121212121,0.521111111111111,0.125116966398086,0.116486106528436,0.149622769590984
