maxdepth,mfinal,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
18,32,0.533707070707071,0.587575757575758,0.486296296296296,0.108804012106137,0.142954281729393,0.121774985751663
5,61,0.550478114478114,0.573333333333333,0.518518518518518,0.101865892948046,0.170559459179512,0.159349821291466
12,89,0.528367003367003,0.57969696969697,0.508148148148148,0.111815639729537,0.201203040799249,0.143984925814917
10,121,0.545860269360269,0.57969696969697,0.509259259259259,0.106257971381708,0.179128750729449,0.146916173854064
23,226,0.526486531986532,0.573030303030303,0.501481481481482,0.106592422518045,0.185794809450562,0.152284528271032
24,238,0.530356902356902,0.58,0.505185185185185,0.098150637213705,0.188730667215986,0.118839762591052
1,338,0.551952861952862,0.415757575757576,0.627407407407407,0.124243146583842,0.168136202122386,0.172743207376214
3,509,0.567723905723906,0.557272727272727,0.547037037037037,0.102660220671765,0.156899824279488,0.149347476220148
25,527,0.531048821548821,0.573333333333333,0.505185185185185,0.101977222879823,0.189702611578611,0.131168028860276
6,583,0.54416835016835,0.593333333333333,0.505185185185185,0.106752015423073,0.164382370095963,0.145946605039767
27,687,0.531961279461279,0.586666666666667,0.537037037037037,0.104818053650487,0.181908023780172,0.145203819796116
19,881,0.52913468013468,0.58969696969697,0.527407407407407,0.108868507520957,0.177113638659859,0.146848063064027
30,895,0.537021885521886,0.58,0.542222222222222,0.104007127001898,0.190548996114399,0.13395131372518
25,970,0.534592592592593,0.57,0.531111111111111,0.102897821317444,0.191901436418583,0.162630567775982
10,978,0.538919191919192,0.583333333333333,0.512592592592593,0.1079143538978,0.193571277467591,0.133866537087008
