lambda,NumVars,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.0320502781016985,1,0.487986531986532,0.554242424242424,0.398888888888889,0.11988321785033,0.152503256618299,0.165406474572691
0.0969238670029718,1,0.487986531986532,0.554242424242424,0.398888888888889,0.11988321785033,0.152503256618299,0.165406474572691
0.314726745836901,1,0.487986531986532,0.554242424242424,0.398888888888889,0.11988321785033,0.152503256618299,0.165406474572691
1.03667899016484e-05,2,0.541754208754209,0.604545454545454,0.464444444444444,0.137258689001773,0.133240088037088,0.173079684731981
6.95658426701244e-05,2,0.541754208754209,0.604545454545454,0.464444444444444,0.137258689001773,0.133240088037088,0.173079684731981
0.0250312773527757,2,0.541754208754209,0.604545454545454,0.464444444444444,0.137258689001773,0.133240088037088,0.173079684731981
0.573895058667706,2,0.541754208754209,0.604545454545454,0.464444444444444,0.137258689001773,0.133240088037088,0.173079684731981
1.07950097520351,2,0.541383838383838,0.601212121212121,0.460740740740741,0.137514055792992,0.134601643213769,0.169760137629783
0.00604055803022554,3,0.605131313131313,0.624242424242424,0.532592592592593,0.131615661469926,0.114876203909928,0.173559468692139
0.0153717607028505,3,0.605131313131313,0.624242424242424,0.532592592592593,0.131615661469926,0.114876203909928,0.173559468692139
0.0293481977671134,3,0.605131313131313,0.624242424242424,0.532592592592593,0.131615661469926,0.114876203909928,0.173559468692139
1.09156696503482,3,0.604323232323232,0.624242424242424,0.532592592592593,0.132294581065697,0.114876203909928,0.173559468692139
0.0914204409603621,4,0.614222222222222,0.627272727272727,0.553703703703704,0.124251155490026,0.113921272931495,0.154266231239219
0.288739095210244,4,0.614222222222222,0.627272727272727,0.553703703703704,0.124251155490026,0.113921272931495,0.154266231239219
0.555088029189958,4,0.614222222222222,0.627272727272727,0.553703703703704,0.124251155490026,0.113921272931495,0.154266231239219
