degree,nprune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,2,0.597454545454545,0.656363636363636,0.461851851851852,0.143675232006287,0.199563502015181,0.188396548649565
1,3,0.603501683501684,0.592727272727273,0.555555555555556,0.145227153842706,0.18602346812299,0.209867277485597
2,3,0.596020202020202,0.603030303030303,0.522222222222222,0.143428411237162,0.151995060240812,0.186016016192475
2,4,0.587228956228956,0.596060606060606,0.481481481481481,0.146058271163935,0.173668173707083,0.199260731049937
1,5,0.562198653198653,0.566666666666667,0.497037037037037,0.133126811663642,0.182464889572391,0.201841950850944
2,5,0.582262626262626,0.566969696969697,0.508148148148148,0.146064235094985,0.174320049947825,0.174781584390601
1,7,0.562377104377104,0.584242424242424,0.489259259259259,0.141316918695092,0.208140587193458,0.176298523226649
2,9,0.556821548821549,0.58030303030303,0.465925925925926,0.137828078891732,0.157442572925353,0.160005676073578
2,10,0.555272727272727,0.573636363636364,0.49,0.133953431753297,0.18473136396131,0.181670738234571
2,11,0.5506632996633,0.573636363636364,0.475555555555556,0.139597831396338,0.190248895787196,0.215163762911317
1,12,0.560511784511785,0.586666666666667,0.478148148148148,0.14003365074356,0.140627858361544,0.188392029265546
2,13,0.550047138047138,0.586060606060606,0.471851851851852,0.125250072259812,0.178380244791113,0.181984082625196
