eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.28926623164257,10,8.05511586368084,0.355060716997832,5,0.747417229926214,70,0.512703703703704,0.673333333333333,0.316666666666667,0.132151586443859,0.205411726518886,0.221603544916649
0.0524588425643742,4,0.115781959611923,0.401231206953526,1,0.26697985251667,87,0.499346801346801,0.559090909090909,0.473333333333333,0.139399983547157,0.165880639120066,0.14768253780001
0.523462720503332,6,7.48275852063671,0.462468706816435,20,0.68449031363707,159,0.5,0.966666666666667,0.0333333333333333,0,0.182574185835055,0.182574185835055
0.0119718569254037,6,8.99428605334833,0.322930197231472,6,0.81565402878914,174,0.507267676767677,0.976666666666667,0.0148148148148148,0.130283613471549,0.0678910553924363,0.0482413872728116
0.311512902475195,9,1.88200338976458,0.583803144842386,1,0.411943521350622,175,0.494,0.527575757575758,0.479259259259259,0.159657968016337,0.17615770760893,0.196991707784874
0.290875094576273,7,3.69586404878646,0.377592674922198,17,0.309014691796619,207,0.5,0.9,0.1,0,0.305128576629365,0.305128576629365
0.402805612505646,3,7.10184372728691,0.320648922491819,17,0.265466130222194,281,0.5,1,0,0,0,0
0.224158169206465,4,5.90912024024874,0.691674936097115,4,0.739781021547969,420,0.547387205387205,0.588181818181818,0.474074074074074,0.122938362362862,0.156790806751511,0.149991722017456
0.22664329799125,6,2.87351635517552,0.390947216190398,13,0.888861887680832,542,0.566592592592593,0.593333333333333,0.477407407407407,0.152807839636658,0.173261561599891,0.195794075483207
0.0858272211805452,5,8.64426424494013,0.388985565584153,9,0.466271991666872,601,0.546114478114478,0.718787878787879,0.302962962962963,0.14425318533242,0.218780960707119,0.220895143441853
0.111379460400203,8,1.14579604938626,0.419866923242807,10,0.657895527605433,696,0.52937037037037,0.617272727272727,0.463703703703704,0.136205705165991,0.161856393642665,0.167187776224227
0.46961412155861,8,0.0477051525376737,0.405260378215462,16,0.785961676214356,715,0.527139730639731,0.574242424242424,0.470740740740741,0.14554347807815,0.165456325274339,0.171177360249076
0.561472851709463,2,2.41033112630248,0.37268190709874,15,0.560677012254018,762,0.500555555555556,0.823333333333333,0.177777777777778,0.00304290309725093,0.37845724336769,0.378880518103957
0.114906548483996,8,5.67067903233692,0.673022522032261,18,0.696610538288951,841,0.5,1,0,0,0,0
0.43973998437752,1,3.65162267815322,0.341220736224204,19,0.837940625555348,939,0.539040404040404,0.613636363636364,0.482962962962963,0.115806944957239,0.178508273650706,0.190241569300558
