nIter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
3,0.507755892255892,0.581212121212121,0.415925925925926,0.0796284177925236,0.133244009216964,0.160874666856575
10,0.515299663299663,0.538452380952381,0.546111111111111,0.116077620149581,0.327512684349127,0.318271292423772
21,0.508973063973064,0.508787878787879,0.498148148148148,0.110261666500183,0.179998469537418,0.128689346571895
24,0.501688552188552,0.521150793650794,0.468280423280423,0.136251836778339,0.250071734306601,0.219425896108646
35,0.510811447811448,0.553636363636364,0.454074074074074,0.117975174820233,0.185285896640497,0.143267629757534
39,0.491570707070707,0.507272727272727,0.448888888888889,0.110232591598476,0.162331965865124,0.173845397472071
41,0.523742424242424,0.533939393939394,0.477407407407407,0.130965320763318,0.147534759216815,0.189698138765999
53,0.533728956228956,0.540606060606061,0.480740740740741,0.109133259388076,0.161492986847689,0.149951981340091
66,0.522016835016835,0.525740740740741,0.498346560846561,0.104419811302495,0.181438688815353,0.156364454985796
73,0.526659932659933,0.554545454545455,0.496296296296296,0.116860829092599,0.150064107133064,0.163177613191445
79,0.497141414141414,0.521212121212121,0.473333333333333,0.113991551100268,0.132458897593288,0.13685017116781
88,0.510148148148148,0.525886243386243,0.472089947089947,0.126639311277728,0.189367230061563,0.160251241334713
91,0.512602693602694,0.521818181818182,0.505555555555556,0.123319101790588,0.137032840698998,0.129831078646624
96,0.518631313131313,0.537050264550265,0.467420634920635,0.119806435688763,0.180418727012757,0.169825646440591
