nprune,degree,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,1,0.149621212121212,0.503208556149733,0.535294117647059,0.249649443459821,0.204922409637901,0.177527397212585
5,1,0.481215488215488,0.57027972027972,0.492735042735043,0.230224472053996,0.150647257899964,0.140191837091482
9,1,0.499148148148148,0.556565656565657,0.488477366255144,0.213108438428601,0.170901899367617,0.170872335384708
10,1,0.536885521885522,0.515151515151515,0.468148148148148,0.138824150285783,0.15261253589369,0.148261769966704
11,1,0.468707070707071,0.521548821548822,0.482716049382716,0.200167761564402,0.130263270708947,0.138925920988971
4,2,0.374575757575758,0.587727272727273,0.47,0.288106440690046,0.161557098125594,0.185297821495753
7,2,0.449180134680135,0.549732620320856,0.486274509803922,0.221429312631909,0.158842433920557,0.14776672030969
8,2,0.428149831649832,0.55,0.49212962962963,0.241362455680712,0.152166234883133,0.157634842413081
9,2,0.372919191919192,0.538429752066116,0.467676767676768,0.247744166782085,0.161772254248503,0.149579425711649
10,2,0.47647138047138,0.556565656565657,0.473662551440329,0.197805026913336,0.133426011443696,0.160251113133938
11,2,0.424451178451178,0.525378787878788,0.487962962962963,0.246757639902303,0.147246354118036,0.162802768577295
12,2,0.457346801346801,0.556727272727273,0.510222222222222,0.243186012787782,0.153478491597097,0.147123307092085
