lambda,lambda2,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
6.82040628228365e-05,0.355164478149535,0.630521885521885,0.65030303030303,0.509259259259259,0.122292750860407,0.174569181598741,0.173145672392679
0.000592370542905195,0.000648911141215426,0.62806734006734,0.606969696969697,0.585555555555555,0.122513226841033,0.152973441953804,0.194784049355574
0.0056764485009048,0.00414412594247683,0.62840404040404,0.606969696969697,0.585555555555555,0.119913264505794,0.155211240300461,0.190362742168182
0.0125647929247688,0.00674806880102965,0.626185185185185,0.603939393939394,0.578518518518519,0.121604472636663,0.159127775994039,0.196129715578149
0.0139610247467182,0.388689281089941,0.627188552188552,0.676969696969697,0.461851851851852,0.126464118108864,0.184010812457742,0.164382387931866
0.0145227239440381,0.000151800387253144,0.626892255892256,0.603636363636364,0.574814814814815,0.119391492599209,0.156435064242624,0.191049917435675
0.0241440245461281,0.506799693873295,0.627855218855219,0.756060606060606,0.356296296296296,0.123709847543824,0.176442204218994,0.150857724602452
0.0271192215051022,0.195589662531815,0.622713804713805,0.650606060606061,0.498148148148148,0.121542426229009,0.185506221415127,0.17524739754891
0.0325531607810477,3.26254444455513e-05,0.619289562289562,0.620606060606061,0.560740740740741,0.120161868444559,0.165264166424831,0.183544713467641
0.0393829313397692,0.00085108888123233,0.619131313131313,0.620606060606061,0.557037037037037,0.121549558177071,0.165264166424831,0.182451340243613
0.0456002082357223,0.000242333087168825,0.615936026936027,0.633636363636364,0.54962962962963,0.121559937763826,0.175747396383057,0.18000835639591
0.0535576264233841,1.29417139640185e-05,0.61489898989899,0.646969696969697,0.52037037037037,0.122094413889938,0.178449727150722,0.185857655134748
0.0541692362552101,0.00300539522400893,0.614528619528619,0.646969696969697,0.516666666666667,0.122615069932689,0.178449727150722,0.183938974091594
0.0625158463907567,3.73087500007754e-05,0.610299663299663,0.67030303030303,0.487777777777778,0.125882133716939,0.179212255141479,0.180636733887738
0.0792280920212293,0.00231460186478044,0.601552188552189,0.713030303030303,0.414814814814815,0.127253147065865,0.189894052345452,0.17144698421932
