lambda,alpha,nrounds,eta,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.116987296949951,0.000659453323891781,6,2.68930387613364,0.552846801346801,0.547272727272727,0.473703703703704,0.133035324271443,0.158098562026682,0.138761883181978
0.000180576909524626,1.88984938348515e-05,13,0.387430481845513,0.523092592592593,0.562121212121212,0.472592592592593,0.143754775786229,0.142166667195648,0.183219710136462
0.460513104796265,0.00439190311396143,13,0.0471325584221631,0.545952861952862,0.593030303030303,0.475185185185185,0.117001094659138,0.145663708024582,0.189095747297739
0.104845701952132,0.540651212969295,22,2.61579867289402,0.535619528619529,0.574545454545455,0.487037037037037,0.114283136335524,0.100961465128366,0.15574928640509
0.0631350541662473,0.00278756768376204,23,2.3204445282463,0.515272727272727,0.553030303030303,0.47962962962963,0.140103081617713,0.148577051107809,0.173685743856095
1.80925107137913e-05,0.000232443582811957,34,2.82032348471694,0.490515151515152,0.514848484848485,0.44962962962963,0.132823292091236,0.11777076654682,0.160372420268931
0.00832394283107441,0.0273415088010433,35,1.69269454968162,0.510727272727273,0.544242424242424,0.467777777777778,0.137838408291089,0.111435958432482,0.190925464495344
1.20557128219564e-05,0.000450732118492369,49,0.439635179238394,0.489848484848485,0.517878787878788,0.465185185185185,0.13122600262977,0.0993419021718466,0.168122209531859
0.000135874091305455,8.50487544753089e-05,54,2.31411000341177,0.484111111111111,0.524545454545455,0.453703703703704,0.126227559463451,0.107912918884284,0.163197178722237
0.00155700749221561,0.00892994204157192,73,1.40713362931274,0.502774410774411,0.53030303030303,0.464814814814815,0.131842110948516,0.115124013654824,0.175538660939178
0.00022983494326395,1.06252171083724e-05,80,2.36538857733831,0.491212121212121,0.527272727272727,0.461111111111111,0.129405088390572,0.11884309807756,0.159947575489802
0.00877619675268103,0.241669393220249,80,1.21202849247493,0.494282828282828,0.54,0.457037037037037,0.134540887727751,0.11852133531584,0.160955356957906
0.000188621335951256,0.336912777980821,84,2.48362792585976,0.490670033670034,0.537272727272727,0.465185185185185,0.132367865685594,0.117476797488412,0.181796843310965
0.146475832855728,0.00017410399134205,87,1.60036325524561,0.495794612794613,0.526666666666667,0.472222222222222,0.124114889767736,0.14069269121682,0.176329107134893
0.190153545292507,4.35946628148875e-05,87,2.26070766337216,0.483242424242424,0.53969696969697,0.43962962962963,0.13737986430392,0.139911695746391,0.185596350697867
