alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.0059875980950892,0.164064695108589,0.613548821548822,0.62,0.485185185185185,0.102104199062804,0.102862978026615,0.193494303299591
0.0678961994126439,6.06160813312848,0.5,1,0,0,0,0
0.15913559938781,0.00481690912206498,0.610740740740741,0.59030303030303,0.542592592592593,0.0963218750610543,0.101903606499347,0.185123233570982
0.160153968958184,0.330334200407274,0.571387205387205,0.825757575757576,0.188888888888889,0.101513115119075,0.114098329532592,0.126349673929817
0.424383527832106,0.00157974423526628,0.610700336700337,0.593636363636364,0.542592592592593,0.0971668071462053,0.107117735116103,0.185123233570982
0.436385547276586,0.1106003608549,0.584680134680135,0.713030303030303,0.340740740740741,0.103735992807989,0.117509137747519,0.163698560392611
0.574763857293874,0.0848344318086974,0.58430303030303,0.69969696969697,0.351111111111111,0.104426456724172,0.115300871076906,0.166949950821145
0.63400277425535,2.48255249654073,0.5,1,0,0,0,0
0.668874812545255,0.299806448773417,0.5,1,0,0,0,0
0.681842477759346,0.258151916877504,0.5,1,0,0,0,0
0.714366964064538,0.117005707862418,0.467296296296296,0.956969696969697,0.0259259259259259,0.0898645227753622,0.0771733948803794,0.0631467530173262
0.764638897264376,0.0186891448673973,0.609138047138047,0.61030303030303,0.528148148148148,0.0959156097590134,0.105173480521635,0.16577625068204
0.934107332723215,0.00260943166523185,0.612111111111111,0.596969696969697,0.542592592592593,0.0971722217140153,0.105649299499138,0.185123233570982
0.962558168917894,5.7061033832085,0.5,1,0,0,0,0
0.989586164010689,0.00318700609855421,0.612515151515152,0.596969696969697,0.542592592592593,0.0971648787087332,0.105649299499138,0.185123233570982
