M,PT
RBM3,100,100
SF3B1,40.2222222222222,40.2222222222222
SRRM1,20.4444444444444,20.4444444444444
SRSF3,90.6666666666667,90.6666666666667
SRRM4,0,0
SFPQ,78,78
U2AF2,92,92
