BT,PT
RBM3,70.8571428571428,70.8571428571428
SF3B1,100,100
SRRM1,39.4285714285714,39.4285714285714
SRSF3,17.7142857142857,17.7142857142857
SRRM4,0,0
SFPQ,42.2857142857143,42.2857142857143
U2AF2,22.8571428571429,22.8571428571429
