@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
19,0,5,0,1,1,0.791667,1,0.208333,0.883721,1,1,0.46
19,0,4,1,0.8,1,0.826087,1,0.173913,0.904762,0.958333,1.043478,0.5
19,0,3,2,0.6,1,0.863636,1,0.136364,0.926829,0.916667,1.090909,0.57
19,0,2,3,0.4,1,0.904762,1,0.095238,0.95,0.875,1.142857,0.62
19,0,1,4,0.2,1,0.95,1,0.05,0.974359,0.833333,1.2,0.65
19,0,0,5,0,1,1,1,0,1,0.791667,1.263158,0.71
17,2,0,5,0,0.894737,1,0.894737,0,0.944444,0.708333,1.263158,0.77
16,3,0,5,0,0.842105,1,0.842105,0,0.914286,0.666667,1.263158,0.82
12,7,0,5,0,0.631579,1,0.631579,0,0.774194,0.5,1.263158,0.83
11,8,0,5,0,0.578947,1,0.578947,0,0.733333,0.458333,1.263158,0.84
10,9,0,5,0,0.526316,1,0.526316,0,0.689655,0.416667,1.263158,0.85
9,10,0,5,0,0.473684,1,0.473684,0,0.642857,0.375,1.263158,0.93
8,11,0,5,0,0.421053,1,0.421053,0,0.592593,0.333333,1.263158,0.94
7,12,0,5,0,0.368421,1,0.368421,0,0.538462,0.291667,1.263158,0.95
6,13,0,5,0,0.315789,1,0.315789,0,0.48,0.25,1.263158,0.97
5,14,0,5,0,0.263158,1,0.263158,0,0.416667,0.208333,1.263158,0.98
4,15,0,5,0,0.210526,1,0.210526,0,0.347826,0.166667,1.263158,0.99
3,16,0,5,0,0.157895,1,0.157895,0,0.272727,0.125,1.263158,1
0,19,0,5,0,0,0,0,0,0,0,?,1.00001
