@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
4,0,28,0,1,1,0.125,1,0.875,0.222222,1,1,0
4,0,9,19,0.321429,1,0.307692,1,0.692308,0.470588,0.40625,2.461538,0.02
4,0,6,22,0.214286,1,0.4,1,0.6,0.571429,0.3125,3.2,0.05
4,0,4,24,0.142857,1,0.5,1,0.5,0.666667,0.25,4,0.06
4,0,3,25,0.107143,1,0.571429,1,0.428571,0.727273,0.21875,?,0.11
4,0,2,26,0.071429,1,0.666667,1,0.333333,0.8,0.1875,?,0.12
4,0,1,27,0.035714,1,0.8,1,0.2,0.888889,0.15625,?,0.13
4,0,0,28,0,1,1,1,0,1,0.125,?,0.42
3,1,0,28,0,0.75,1,0.75,0,0.857143,0.09375,?,0.51
2,2,0,28,0,0.5,1,0.5,0,0.666667,0.0625,?,0.7
1,3,0,28,0,0.25,1,0.25,0,0.4,0.03125,?,0.91
0,4,0,28,0,0,0,0,0,0,0,?,0.91001
