@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
9,0,32,0,1,1,0.219512,1,0.780488,0.36,1,1,0
9,0,23,9,0.71875,1,0.28125,1,0.71875,0.439024,0.780488,1.28125,0.01
9,0,21,11,0.65625,1,0.3,1,0.7,0.461538,0.731707,1.366667,0.02
9,0,20,12,0.625,1,0.310345,1,0.689655,0.473684,0.707317,1.413793,0.03
9,0,19,13,0.59375,1,0.321429,1,0.678571,0.486486,0.682927,1.464286,0.05
9,0,17,15,0.53125,1,0.346154,1,0.653846,0.514286,0.634146,1.576923,0.06
9,0,16,16,0.5,1,0.36,1,0.64,0.529412,0.609756,1.64,0.07
9,0,15,17,0.46875,1,0.375,1,0.625,0.545455,0.585366,1.708333,0.09
9,0,14,18,0.4375,1,0.391304,1,0.608696,0.5625,0.560976,1.782609,0.11
9,0,13,19,0.40625,1,0.409091,1,0.590909,0.580645,0.536585,1.863636,0.12
9,0,12,20,0.375,1,0.428571,1,0.571429,0.6,0.512195,1.952381,0.13
9,0,9,23,0.28125,1,0.5,1,0.5,0.666667,0.439024,2.277778,0.15
9,0,8,24,0.25,1,0.529412,1,0.470588,0.692308,0.414634,2.411765,0.16
9,0,6,26,0.1875,1,0.6,1,0.4,0.75,0.365854,2.733333,0.18
9,0,5,27,0.15625,1,0.642857,1,0.357143,0.782609,0.341463,2.928571,0.19
9,0,4,28,0.125,1,0.692308,1,0.307692,0.818182,0.317073,3.153846,0.24
8,1,3,29,0.09375,0.888889,0.727273,0.888889,0.272727,0.8,0.268293,3.313131,0.26
7,2,3,29,0.09375,0.777778,0.7,0.777778,0.3,0.736842,0.243902,3.188889,0.32
6,3,3,29,0.09375,0.666667,0.666667,0.666667,0.333333,0.666667,0.219512,3.037037,0.44
6,3,2,30,0.0625,0.666667,0.75,0.666667,0.25,0.705882,0.195122,3.416667,0.48
6,3,1,31,0.03125,0.666667,0.857143,0.666667,0.142857,0.75,0.170732,3.904762,0.51
5,4,1,31,0.03125,0.555556,0.833333,0.555556,0.166667,0.666667,0.146341,3.796296,0.54
4,5,1,31,0.03125,0.444444,0.8,0.444444,0.2,0.571429,0.121951,3.644444,0.62
3,6,1,31,0.03125,0.333333,0.75,0.333333,0.25,0.461538,0.097561,?,0.79
2,7,1,31,0.03125,0.222222,0.666667,0.222222,0.333333,0.333333,0.073171,?,0.84
2,7,0,32,0,0.222222,1,0.222222,0,0.363636,0.04878,?,0.88
1,8,0,32,0,0.111111,1,0.111111,0,0.2,0.02439,?,0.9
0,9,0,32,0,0,0,0,0,0,0,?,0.90001
