id,CA150,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,sf3btv1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC
CP_0016,28439895.4564427,6381116.56841233,115384.923272182,13623.807200407,52022624.926465,8554007.02002008,1467885.9729325,1311.33096811917,76188639.6962574,611443.743909981,19375627.0271668,10880210.5909175,20815254.1137726,28023781.6167628,41361438.9411515,6582813.96530174,2243739.81619029,9925141.53152722,13568859.6137416,60665901.6908978,1617992.71064315,38853266.344006,38108485.697829,36132.6335803309,34716941.7141625,120261312.273339,15832497.5879498,165501749.021384,10825019.7775926,76464533.7707245,17927944.0768856,57294198.3002101,32414410.9182565,,151003995.110875,587080.76804108,610942095.03314,18301289.992971,18303277.351866,1997055565.22072,6284386.64472771,1027663.30287878,6007364.6866738,2779288.54517686
CP_0018,31537010.5494148,6647392.06277663,109063.897017941,15730.9673693615,43632822.8852342,3153507.05353008,302947.839077967,,61340065.2432743,101335.438511782,19483477.8188835,10674454.5799431,20135294.2954584,27564215.0853419,40534006.3538364,6882957.19339537,779292.453893087,2271091.82627269,4021231.46071307,34648005.5348955,210469.641202422,41502745.3196803,32402484.7365646,20068.1956740276,30470659.662634,96437006.6224722,17942098.0875146,140226423.499489,5565246.36618888,87338816.8145104,23614716.9310878,55936404.2265936,51653313.5769213,,184195468.035395,76505.9142998571,551464211.509481,13154783.3217444,20184705.4195067,2597194685.70569,516886.206556246,37171857.3332108,63551105.9906332,1638301.3645572
CP_0043,40814771.6698389,6318843.2590554,132821.255518067,4856.73972038148,36948891.3235868,2000487.68341254,79838.6666024783,,74598275.4914915,150331.422848546,30867731.6156407,14277051.0698938,26922471.3667545,21868025.3806805,48572285.0598844,5899399.32383244,1347518.08118344,3023064.71667991,2065006.72919774,35352534.4871838,68366.7524943977,72384097.8167487,30665546.8089331,24838.2962302897,40809516.9923876,115407823.888106,19953418.6473498,209191103.851526,12077411.8224769,99783138.0675459,13406862.6465361,56539926.218004,41023585.3516347,153951456.759606,82942396.2892123,13478.6990587143,242105245.179223,12168627.2616318,15788324.8476855,354165037.733547,130941.863959255,25593940.4161541,39929397.1956755,1919921.42387686
CP_0058,31915009.2984239,6185241.8762721,206411.544844758,4849.75528523516,44846792.0678935,3720371.93951737,20007.1640944222,,51196043.6218184,59217.7752352959,15772782.4843189,4855059.32455836,14095696.9882141,17476130.4526157,31304020.5763764,4021866.50083974,1319750.65522979,2912433.68688292,7400287.88012624,50274993.0497455,104144.044895603,29739352.5758548,25382154.6857107,136643.110657096,31056057.8297908,134303714.384934,11214128.4453402,105306196.557926,1108914.43704224,58573248.7744046,18006723.9210607,23260288.1370328,28695002.6082038,61645750.990259,174478241.185477,100912.501788854,752857989.801123,9451846.24124934,9965098.38918746,6807375949.36983,6057464.69832795,20440998.4388691,65216590.1344169,1479797.13151036
CP_0074,33664932.3153201,3676542.72360197,284939.440653483,,46634722.8288118,3855662.18787871,25331.7625105906,,43421997.5853468,326046.777030832,17676175.9932866,6651117.46259414,16994902.9684312,20738285.5841925,22310573.1148872,8940665.18255738,1427023.89429403,2725732.9111879,6080396.144236,34013413.3796644,1121649.06453613,32794983.1235345,25352937.5934993,295605.6881392,27534360.6955918,129552473.426141,15459336.2488528,97618385.9604355,7768298.54612722,70322870.7279032,21860378.2871834,47265457.8020426,48892404.2909438,91429647.5111499,95955101.8943125,30343.4192916441,995658537.345326,8899101.71259382,9110654.03087457,5397964938.92204,7443042.38795425,21701825.4522179,45881448.5943403,2619895.28129824
CP_0096,22037924.9519951,3169011.07763559,324103.717481383,,13235071.7471843,7630094.30751505,519430.937351648,3950.37294888289,27143012.6163018,12219.8268852238,9747517.57721003,3195267.11622707,15947520.977042,11623926.0310301,22006339.9229298,3432129.72637278,685501.967268861,1825305.74165799,1764427.48947798,16893836.8603028,47584.8697351189,30828781.101711,11580455.3308223,28556.5894891697,35337995.7837477,52984095.9406328,10289377.3728873,84581100.9153294,6885717.98695825,55346851.942811,6780398.26019788,35217552.3178485,14960331.9611803,,65439536.7457914,17129.6196443302,730629350.208459,11990266.2028511,9396214.04963066,2622102257.45107,1380977.81293772,68444555.3696069,100951130.952709,1028725.61018164
CP_0100,24206922.3857752,4488697.67268391,196187.114916458,9234.14187154441,25432025.4744032,8189329.59364981,1573581.40386122,12141.5076691269,52461016.3178397,18133.2715696837,17999246.4333288,8036179.5585261,18773647.1974821,18056569.1666762,24048538.7869164,4553867.66752629,853379.281323559,2508608.96663482,1536630.85908101,29398763.2201035,62553.1143427922,45745730.7429528,23913553.3970151,30883.4577394995,27144230.630762,85671279.8410827,12620521.6446842,123473998.680499,5774521.65136235,76774606.9172976,16390013.296538,28659485.811075,17325454.13718,,52649176.9231813,23802.3846722915,321417257.70301,16036413.9397375,15457374.6539675,4494971692.34516,1321232.11227331,50006498.970962,69640517.5453118,2123590.74344866
CP_0128,33301625.259858,5710550.71798958,219103.598406554,10942.3951867515,11736110.4901007,1406292.96727956,1082789.58962184,3329.03190894217,38114121.5655526,16654.3231007374,28437126.9135763,4810433.03893008,17095577.7666049,15119935.1787893,47287764.3380232,2062798.06710496,1375514.01404945,832373.027009501,955573.825784595,23222893.759752,93560.082162081,61373142.9362221,32284760.7129257,56125.3674188264,21916557.2526078,82047496.7998345,16087719.0365159,219528194.17362,7498505.33081206,145147638.164028,10303390.1585383,53924948.5893834,30571679.5652392,121733069.616289,243390897.235116,18237.1512198044,2022201920.23446,8904803.53770387,7448602.2705902,4341812724.25125,103794.438707161,46456423.052654,60556314.9020228,1336388.10372281
CP_0134,56988173.570168,7666411.5652145,42501.1538965467,25674.8457608281,55586118.4794248,5043557.7266195,94917.9277917831,,99710399.9980382,169156.005267441,34555078.1397123,17701956.886553,38645523.9372903,37866689.0513553,85479768.4829776,13750417.9408835,1622019.30391194,11158930.8100521,5190309.39281486,58208006.6859444,374973.478900006,68622819.9666431,35858853.9999522,6562.48594480197,66148226.6800754,194925383.417787,36543385.9967333,250411682.007692,17701573.361457,106165812.515016,26779970.6510157,85785387.1698685,82167634.8300054,219253434.107043,154382383.048823,54184.3956379192,302375676.08728,21026358.3266231,19052759.4333611,665972512.318114,278950.885704246,36547369.9264574,98700415.2514843,2803501.78892589
CP_0135,28590861.079861,3342353.76567521,157745.298484852,1747.45213316486,35324020.9472155,7452864.45769255,1993964.23831796,4809.69334252552,64110146.8299573,102365.082838825,15153362.382734,6637549.307703,21568625.7882909,25248962.9302291,29445865.3344243,5571944.89631331,876975.4380431,6306560.80686349,4429607.8374097,35798698.1743083,437716.674807716,28190565.9161894,33442436.3256892,60594.8693973764,25830588.3206929,89140284.3543079,13029238.5242766,158336036.843767,8792451.23600751,65175873.4308087,12693268.1778883,44477519.1778032,24607913.7539629,,114725746.327347,107063.984476922,838308688.728565,11211035.6427532,14374524.9498361,2896621900.90484,2142573.1353884,27646953.3714603,45939690.809656,2132699.30681927
