MAGOH,RBM22,SRRM4,PSF,NOVA1,SRSF6,RBM3,RBM45,SRSF1,SNRNP200,SRRM1,SF3B1,U2AF1,U2AF2,TCERG1,PRPF8,CELF1,ESRP1,ESRP2,RBM17,SNW1,SND1,TIA1,SRSF2,SRSF4,SRSF5,SRSF9,TRA2A,TRA2B,KHRSB1,RAVER1,PTBP1,SRSF3,Cancer
4543469,9803408,61162,33008038,2795981,21009174,20572302,1655745,36277851,62044561,20596415,46919036,14721879,42487639,5568603,113275649,20503708,24372682,21628554,10497528,12296044,92410383,7042645,29392522,12153894,53804079,32969716,11483313,22283684,27858467,19400494,54922744,46356613,0
4543920,9771808,208164,32013346,1373882,35399756,16688796,1593941,42055053,55746290,38261738,52851149,10825175,36331668,6081918,104591409,21970030,22229770,24359640,10993007,12959041,120859141,7340659,26447952,14581419,30025974,28887113,9642358,25974026,34349650,17946054,56919081,48603397,0
2942983,8998086,33827,38743778,904883,37315839,27996393,1695598,30355854,66639957,22471837,61742443,8052516,25499635,7776967,107036227,21570630,20604587,7368506,9660426,12976740,82953238,8486911,18943026,15605803,34476052,19842775,12441851,19453764,32372153,12950806,44723235,35205446,0
4036996,10204289,65047,26548958,1276552,23742250,20457364,1715622,29986787,57099299,25215517,56197318,10004789,26920498,6297893,96858238,23802682,26115900,21757663,10426245,12265326,88587165,9530651,24024042,12806513,45589080,28553640,12681992,21681034,34454023,14233716,40699234,42126437,0
4733728,9510490,172136,32823066,628295,26620764,19012372,1932222,32288327,58840237,25860381,57879415,9257131,25575219,7307813,84825115,23242848,25941248,20833865,9555062,11891689,77496020,10112618,25432510,13598406,54419163,24672915,10985129,27154251,29963312,12283255,42872222,42621109,0
3561860,9141056,27581,44409968,330969,40130024,24235619,1312057,35342790,62194641,26173633,52470525,9405145,23033226,5369775,109356913,18354770,19019293,10439443,10000000,11789925,63022508,8043944,23208467,13981779,45192926,22422294,11061093,24276527,35916399,11864952,37052519,54399786,0
4417431,11323787,49449,63444319,259606,43552076,32001648,1520552,39208818,67913877,22782867,46640496,13043706,31080869,6246183,87746663,19945913,23669197,19645817,12733141,14212684,92987874,7491931,23553136,17067085,28582396,32549943,10639449,22786356,42599668,17217133,51183809,52530751,0
7018538,7173018,0.5149,54162976,489186,62167868,31725026,1817714,46138002,46961895,20998036,45355204,10507104,39038928,6258519,92205152,16767933,12921335,26417928,9857918,11549035,87850295,7510685,23054407,13679104,30694236,26854569,9978052,19392399,26052905,20475915,49358900,39265334,1
4732108,9497446,39877,48417635,531697,68575682,35543976,1661555,41173323,39046533,26197429,60033739,11461811,31507184,6882671,102428015,21043569,21415857,18391019,9649235,11117445,70394974,10693968,25559653,16164272,44390670,21441452,10214647,22081322,28575417,17188064,51666570,38278169,1
4496324,5735294,0.7353,58723971,1250000,58529412,33963235,2275735,52948529,92312500,27306413,47584323,12672209,31125891,6137767,103289786,17508314,16061758,14213777,9182898,11004751,71301663,6900238,22836057,14638955,54850356,24883610,9477435,21836105,27874109,18000000,47679335,40389549,1
3713378,8080951,23532,47294223,1331921,50961290,32893282,1835510,45704200,50951877,22354849,45103598,8218760,23231163,6200583,84427066,17592660,30339040,24474820,9356197,11693034,124259504,7714216,21156778,13768746,28630671,26931154,10484783,20836791,32941426,12197578,34689628,41810783,1
4518947,9434541,0.0000,70861480,33054,52428285,17726361,1784913,50567820,45387794,26725000,47210714,8550000,26260714,5553571,87028571,21557143,26853571,22107143,8600000,11546429,94114286,9107143,18362429,16135714,34717857,28353571,10167857,20428571,33517857,11939286,36603571,42510714,1
4015539,8615825,12267,59086444,462073,62645676,47622163,2249029,37227561,56507872,31044872,66788462,9730769,25621795,7810897,103576923,21419872,28650641,15131410,10477564,12336538,57512821,12330128,25172596,16019231,46317308,25923077,13266026,23971154,33875000,12000000,40958333,51509615,1
