BT,T
RBM3,0,0
SF3B1,77.2972972972973,77.2972972972973
SRRM1,75.6756756756756,75.6756756756756
SRSF3,41.6216216216216,41.6216216216216
SRRM4,18.3783783783784,18.3783783783784
SFPQ,2.70270270270272,2.70270270270272
U2AF2,100,100
