class,L,N,T
N,0.112,0.676,0.212
N,0.012,0.986,0.002
N,0.026,0.866,0.108
N,0.022,0.942,0.036
N,0.158,0.716,0.126
N,0.018,0.974,0.008
N,0.006,0.948,0.046
N,0.116,0.772,0.112
N,0.036,0.948,0.016
N,0.094,0.878,0.028
N,0.08,0.842,0.078
N,0.082,0.812,0.106
N,0.032,0.952,0.016
N,0.022,0.974,0.004
N,0.01,0.988,0.002
N,0.022,0.974,0.004
N,0.064,0.92,0.016
N,0.02,0.954,0.026
N,0.198,0.714,0.088
T,0.068,0.028,0.904
T,0.202,0.104,0.694
T,0.066,0.144,0.79
T,0.094,0.078,0.828
L,0.626,0.336,0.038
L,0.666,0.172,0.162
T,0.04,0.054,0.906
T,0.108,0.2,0.692
L,0.786,0.15,0.064
T,0.136,0.038,0.826
L,0.686,0.26,0.054
T,0.078,0.018,0.904
T,0.058,0.024,0.918
L,0.734,0.062,0.204
T,0.022,0.038,0.94
T,0.084,0.138,0.778
L,0.818,0.088,0.094
T,0.094,0.018,0.888
L,0.692,0.014,0.294
