pred,obs,N,S,rowIndex,C,M,Resample
S,N,0.363636363636364,0.636363636363636,109,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,122,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,132,0.3775,1,Fold04.Rep1
N,N,0.616666666666667,0.383333333333333,135,0.3775,1,Fold04.Rep1
N,S,0.616666666666667,0.383333333333333,148,0.3775,1,Fold04.Rep1
N,S,0.825242718446602,0.174757281553398,153,0.3775,1,Fold04.Rep1
N,S,0.825242718446602,0.174757281553398,174,0.3775,1,Fold04.Rep1
N,S,0.616666666666667,0.383333333333333,182,0.3775,1,Fold04.Rep1
N,S,0.616666666666667,0.383333333333333,191,0.3775,1,Fold04.Rep1
N,S,0.616666666666667,0.383333333333333,194,0.3775,1,Fold04.Rep1
N,N,0.583333333333333,0.416666666666667,15,0.3775,1,Fold05.Rep1
N,N,0.583333333333333,0.416666666666667,24,0.3775,1,Fold05.Rep1
N,N,0.583333333333333,0.416666666666667,26,0.3775,1,Fold05.Rep1
N,N,0.836538461538462,0.163461538461538,27,0.3775,1,Fold05.Rep1
N,N,0.836538461538462,0.163461538461538,32,0.3775,1,Fold05.Rep1
S,N,0.380952380952381,0.619047619047619,50,0.3775,1,Fold05.Rep1
N,N,0.836538461538462,0.163461538461538,66,0.3775,1,Fold05.Rep1
N,N,0.836538461538462,0.163461538461538,70,0.3775,1,Fold05.Rep1
N,N,0.583333333333333,0.416666666666667,87,0.3775,1,Fold05.Rep1
N,N,0.583333333333333,0.416666666666667,100,0.3775,1,Fold05.Rep1
N,N,0.836538461538462,0.163461538461538,103,0.3775,1,Fold05.Rep1
N,N,0.836538461538462,0.163461538461538,107,0.3775,1,Fold05.Rep1
N,N,0.583333333333333,0.416666666666667,125,0.3775,1,Fold05.Rep1
N,N,0.836538461538462,0.163461538461538,134,0.3775,1,Fold05.Rep1
N,S,0.836538461538462,0.163461538461538,147,0.3775,1,Fold05.Rep1
S,S,0.380952380952381,0.619047619047619,150,0.3775,1,Fold05.Rep1
N,S,0.583333333333333,0.416666666666667,156,0.3775,1,Fold05.Rep1
N,S,0.836538461538462,0.163461538461538,161,0.3775,1,Fold05.Rep1
N,S,0.583333333333333,0.416666666666667,170,0.3775,1,Fold05.Rep1
N,S,0.836538461538462,0.163461538461538,200,0.3775,1,Fold05.Rep1
S,N,0.433333333333333,0.566666666666667,5,0.3775,1,Fold06.Rep1
S,N,0.433333333333333,0.566666666666667,6,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,11,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,13,0.3775,1,Fold06.Rep1
N,N,0.607843137254902,0.392156862745098,35,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,67,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,82,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,96,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,106,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,108,0.3775,1,Fold06.Rep1
N,N,0.607843137254902,0.392156862745098,113,0.3775,1,Fold06.Rep1
S,N,0.433333333333333,0.566666666666667,118,0.3775,1,Fold06.Rep1
S,N,0.433333333333333,0.566666666666667,126,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,127,0.3775,1,Fold06.Rep1
N,N,0.825242718446602,0.174757281553398,128,0.3775,1,Fold06.Rep1
S,S,0.433333333333333,0.566666666666667,162,0.3775,1,Fold06.Rep1
N,S,0.607843137254902,0.392156862745098,163,0.3775,1,Fold06.Rep1
N,S,0.825242718446602,0.174757281553398,164,0.3775,1,Fold06.Rep1
S,S,0.433333333333333,0.566666666666667,188,0.3775,1,Fold06.Rep1
N,S,0.825242718446602,0.174757281553398,199,0.3775,1,Fold06.Rep1
S,S,0.433333333333333,0.566666666666667,201,0.3775,1,Fold06.Rep1
N,N,0.701086956521739,0.298913043478261,14,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,30,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,41,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,47,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,59,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,74,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,78,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,84,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,88,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,97,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,112,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,114,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,117,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,120,0.3775,1,Fold07.Rep1
N,N,0.701086956521739,0.298913043478261,123,0.3775,1,Fold07.Rep1
N,S,0.701086956521739,0.298913043478261,149,0.3775,1,Fold07.Rep1
N,S,0.701086956521739,0.298913043478261,155,0.3775,1,Fold07.Rep1
N,S,0.701086956521739,0.298913043478261,158,0.3775,1,Fold07.Rep1
N,S,0.701086956521739,0.298913043478261,172,0.3775,1,Fold07.Rep1
N,S,0.701086956521739,0.298913043478261,189,0.3775,1,Fold07.Rep1
N,S,0.701086956521739,0.298913043478261,205,0.3775,1,Fold07.Rep1
N,N,0.821782178217822,0.178217821782178,12,0.3775,1,Fold08.Rep1
N,N,0.612903225806452,0.387096774193548,17,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,19,0.3775,1,Fold08.Rep1
N,N,0.612903225806452,0.387096774193548,23,0.3775,1,Fold08.Rep1
N,N,0.612903225806452,0.387096774193548,34,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,40,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,46,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,72,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,91,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,92,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,99,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,111,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,136,0.3775,1,Fold08.Rep1
N,N,0.821782178217822,0.178217821782178,138,0.3775,1,Fold08.Rep1
N,S,0.821782178217822,0.178217821782178,154,0.3775,1,Fold08.Rep1
S,S,0.409090909090909,0.590909090909091,167,0.3775,1,Fold08.Rep1
N,S,0.821782178217822,0.178217821782178,177,0.3775,1,Fold08.Rep1
N,S,0.612903225806452,0.387096774193548,180,0.3775,1,Fold08.Rep1
N,S,0.612903225806452,0.387096774193548,193,0.3775,1,Fold08.Rep1
N,S,0.612903225806452,0.387096774193548,196,0.3775,1,Fold08.Rep1
S,N,0.35,0.65,18,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,36,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,61,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,69,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,80,0.3775,1,Fold09.Rep1
N,N,0.634920634920635,0.365079365079365,85,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,86,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,95,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,101,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,102,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,104,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,105,0.3775,1,Fold09.Rep1
S,N,0.35,0.65,140,0.3775,1,Fold09.Rep1
N,N,0.813725490196078,0.186274509803922,142,0.3775,1,Fold09.Rep1
N,S,0.634920634920635,0.365079365079365,166,0.3775,1,Fold09.Rep1
N,S,0.634920634920635,0.365079365079365,169,0.3775,1,Fold09.Rep1
N,S,0.813725490196078,0.186274509803922,173,0.3775,1,Fold09.Rep1
