shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.1,1,10,50,0.946538918597742,0.443333333333333,0.98698752228164,0.0340821094610558,0.243796598846652,0.0188625040512644
0.1,2,10,50,0.954389483065954,0.525,0.988948306595365,0.0410354225345591,0.229973761621805,0.0185727492115974
0.1,3,10,50,0.953767082590612,0.501666666666667,0.986957813428402,0.0359834613842026,0.19934519243545,0.0204977501885998
0.1,4,10,50,0.958661616161616,0.525,0.983006535947712,0.0384384297315559,0.214053651025254,0.0231917318728022
0.1,5,10,50,0.952850564468211,0.501666666666667,0.985947712418301,0.038811687955035,0.195414384345665,0.0205793703995945
0.1,6,10,50,0.957370766488414,0.515,0.983927510398099,0.0357960484378077,0.22481793400055,0.0220728844463843
0.1,7,10,50,0.954864824717766,0.516666666666667,0.983957219251337,0.0450960744335336,0.217086242727652,0.0219702876270388
0.1,8,10,50,0.953931966726084,0.531666666666667,0.987997623291741,0.0390727195963521,0.213138830154292,0.0186171375209454
0.1,9,10,50,0.959931669637552,0.528333333333333,0.988948306595365,0.0383393425996863,0.226929783053661,0.0167814718169373
0.1,10,10,50,0.951368092691622,0.525,0.985947712418301,0.0401401661903367,0.217648086725274,0.0220644443160923
0.1,1,10,100,0.955246583481878,0.528333333333333,0.9849376114082,0.0275815555995662,0.22348468023301,0.0220093386391837
0.1,2,10,100,0.959936125965538,0.525,0.983957219251337,0.0297234910642382,0.20075289322431,0.0205678094719857
0.1,3,10,100,0.959021093285799,0.481666666666667,0.984967320261438,0.0314429703387798,0.211921965686028,0.021988648787349
0.1,4,10,100,0.960839275103981,0.54,0.983957219251337,0.0350038519436575,0.22026629651245,0.0219702876270388
0.1,5,10,100,0.95281045751634,0.546666666666667,0.985947712418301,0.0450274917141541,0.20211525106395,0.0189784422203054
0.1,6,10,100,0.95808229352347,0.53,0.982947118241236,0.0319159530568786,0.22190398669322,0.0233046056472248
0.1,7,10,100,0.953101604278075,0.511666666666667,0.981937017231135,0.0460832782994325,0.22502234882621,0.0217886746399188
0.1,8,10,100,0.95575311942959,0.546666666666667,0.984967320261438,0.0330877400911185,0.208828148012424,0.021988648787349
0.1,9,10,100,0.959344919786096,0.503333333333333,0.983986928104575,0.0384368168284367,0.233390797521702,0.0219509336461921
0.1,10,10,100,0.950350564468212,0.55,0.985947712418301,0.0393840380184641,0.182888698016222,0.0205793703995945
0.1,1,10,150,0.957624777183601,0.52,0.984997029114676,0.0271328997943822,0.22306640421555,0.0204758228312389
0.1,2,10,150,0.96324569221628,0.51,0.982976827094474,0.0260763347946419,0.207364413533277,0.0218857822439758
0.1,3,10,150,0.959688057040998,0.503333333333333,0.982976827094474,0.0308897916760832,0.200831604418561,0.02446027326725
0.1,4,10,150,0.961445335710042,0.546666666666667,0.983957219251337,0.0292112872832496,0.225118104379768,0.0205678094719857
