mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,0.965563725490196,0.505,0.990938799762329,0.0415447576615852,0.270488064622911,0.0140786957848524
5,0.951293820558526,0.531666666666667,0.990968508615567,0.0574047953763787,0.269252904230914,0.0161325666740991
8,0.946435680332739,0.531666666666667,0.988978015448604,0.0578778227118129,0.269252904230914,0.0185415796972014
12,0.941127450980392,0.523333333333333,0.989007724301842,0.0617585656809542,0.274092022469843,0.0185103083701072
15,0.936065062388592,0.523333333333333,0.985947712418301,0.0695793452062586,0.274092022469843,0.023455679907267
19,0.941807783719548,0.531666666666667,0.989988116458705,0.0601434823633152,0.269252904230914,0.0182785265468743
22,0.941388146167558,0.531666666666667,0.989007724301842,0.0631022778540329,0.269252904230914,0.0185103083701072
26,0.939734105763518,0.531666666666667,0.988978015448604,0.0634535127477816,0.26112598800042,0.0201771998701976
29,0.943581402257873,0.531666666666667,0.987938205585264,0.0603246784962814,0.252737881572211,0.0232904969388178
33,0.943545751633987,0.523333333333333,0.988978015448604,0.060842011913747,0.281845315038578,0.0185415796972014
