NumOpt,NumFolds,MinWeights,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,2,1,0.732620320855615,0.513333333333333,0.950831847890671,0.113088763497574,0.229667425719847,0.0457120860253225
1,2,2,0.736281937017231,0.521666666666667,0.951841948900772,0.110195892253741,0.224254832467569,0.0443806469242725
1,2,3,0.753242721330957,0.555,0.950802139037433,0.118897026597413,0.237207169746849,0.0456990911227288
1,2,4,0.757550505050505,0.566666666666667,0.946791443850267,0.120511473980113,0.238650420046783,0.0458801972614217
1,2,5,0.766941473559121,0.586666666666667,0.944800950683304,0.114851320836163,0.235230383525031,0.0480474190844358
1,2,6,0.743940136660725,0.533333333333333,0.952881758764112,0.0910324361583783,0.189978825196358,0.039987414716556
1,2,7,0.737536393345217,0.518333333333333,0.956892453951278,0.0865305023172638,0.178829206388306,0.037486156885331
1,3,1,0.745191622103387,0.54,0.949970291146762,0.139835405604317,0.276492813400401,0.0348052178389913
1,3,2,0.74842394533571,0.546666666666667,0.949970291146762,0.139149210010256,0.275409830457527,0.0348052178389913
1,3,3,0.748046642899584,0.55,0.942008318478907,0.127059291719435,0.253254676234187,0.0376992475232721
1,3,4,0.744671717171717,0.548333333333333,0.940047534165181,0.11923452194293,0.235431860459752,0.0416806518043582
1,3,5,0.744948752228164,0.545,0.946048722519311,0.129393359553847,0.256081210179303,0.0397469403205171
1,3,6,0.741330956625074,0.536666666666667,0.948039215686274,0.133271730523062,0.261604246160485,0.0368796317624633
1,3,7,0.730164141414141,0.506666666666667,0.950891265597148,0.14808547373673,0.294996590668006,0.0381444944235587
1,4,1,0.739018865121806,0.53,0.946999405822935,0.106257910936533,0.220344557767899,0.0404803195502109
1,4,2,0.739018865121806,0.53,0.946999405822935,0.106257910936533,0.220344557767899,0.0404803195502109
1,4,3,0.729468954248366,0.513333333333333,0.944919786096257,0.107379132357162,0.222033444721088,0.0344895127104852
1,4,4,0.747206625074272,0.55,0.946880570409982,0.119009864824153,0.247748482023256,0.0400790089859584
1,4,5,0.747887700534759,0.548333333333333,0.946850861556744,0.119669276119314,0.246871226146043,0.03930950849922
1,4,6,0.754474153297683,0.558333333333333,0.946850861556744,0.124454308604264,0.255654445301268,0.0384955613222617
1,4,7,0.741873885918004,0.533333333333333,0.948811645870469,0.125117180432268,0.256075599469528,0.0373530774875459
1,5,1,0.753356357694593,0.558333333333333,0.945781342840166,0.127453920234914,0.256327959825895,0.0415906200137189
1,5,2,0.752862448009507,0.556666666666667,0.946821152703506,0.132024162513409,0.266112930828291,0.0402717762006644
1,5,3,0.760124777183601,0.571666666666667,0.943820558526441,0.125552391117074,0.252123168221453,0.0387105606854824
1,5,4,0.749885620915033,0.551666666666667,0.941770647653001,0.147044249372969,0.28871992553736,0.0442909704151015
1,5,5,0.752107843137255,0.558333333333333,0.941770647653001,0.14038988315206,0.277638854149295,0.0456984517700531
1,5,6,0.744264705882353,0.541666666666667,0.941770647653001,0.141660402117513,0.280726684275592,0.0456984517700531
1,5,7,0.735912804515746,0.526666666666667,0.939691027926322,0.129563358821054,0.26054761075716,0.0471237687710819
1,6,1,0.764292929292929,0.585,0.938948306595365,0.143952266587004,0.283193001082423,0.0437285833372086
1,6,2,0.764660576351753,0.585,0.939928698752228,0.143529723119739,0.283193001082423,0.0441083174303436
1,6,3,0.757084818775995,0.568333333333333,0.94194890077243,0.137070068835941,0.272435798616511,0.0454504675858877
1,6,4,0.767083333333333,0.586666666666667,0.938859180035651,0.141847476664934,0.278831717056689,0.0437885824952681
1,6,5,0.763410576351753,0.578333333333333,0.939839572192513,0.136451855040152,0.269636835370292,0.0427978726459694
1,6,6,0.763349673202614,0.576666666666667,0.940879382055853,0.139647069473661,0.274092022469843,0.0422941452699282
1,6,7,0.758879976232917,0.568333333333333,0.940879382055853,0.137554724014609,0.272435798616511,0.0422941452699282
1,7,1,0.752102644087938,0.556666666666667,0.947890671420083,0.143599313202825,0.279696058351689,0.0468108213278942
1,7,2,0.756024212715389,0.565,0.947890671420083,0.140755923441965,0.273908492144668,0.0468108213278942
1,7,3,0.753574717765894,0.558333333333333,0.948900772430184,0.141121576011157,0.270403062282871,0.0455790156246617
1,7,4,0.764190433749257,0.576666666666667,0.95086155674391,0.12955443221754,0.250080446826731,0.0438499258972778
1,7,5,0.748109031491384,0.546666666666667,0.948871063576946,0.138150237024311,0.268113888993585,0.0443188844112053
1,7,6,0.750035650623886,0.553333333333333,0.945870469399881,0.141528191796449,0.2797576948291,0.0451652339332102
1,7,7,0.745616458704694,0.545,0.946880570409982,0.13615595035944,0.269530242689272,0.0446502317227198
1,8,1,0.741530005941771,0.538333333333333,0.943969102792632,0.152219910575987,0.300770084413595,0.0358778893380017
1,8,2,0.741530005941771,0.538333333333333,0.943969102792632,0.152219910575987,0.300770084413595,0.0358778893380017
1,8,3,0.749181521093286,0.553333333333333,0.943969102792632,0.14733096546008,0.292118697336089,0.0358778893380017
