C,M,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.01,1,0.716807040998217,0.486666666666667,0.961853832442068,0.141788206596659,0.204236734399473,0.0396501119225966
0.01,2,0.728712121212121,0.47,0.96387403446227,0.132666601271163,0.222679605928679,0.0375593391816167
0.01,3,0.737201426024955,0.47,0.968924539512775,0.123162533379924,0.222679605928679,0.0331187531638765
0.01,4,0.757260843731432,0.49,0.966934046345811,0.130135585978868,0.236497430182145,0.0299935292402018
0.01,5,0.75599376114082,0.435,0.969964349376114,0.144722018667524,0.225965362008398,0.0295934149555459
0.01,6,0.771084373143197,0.435,0.965953654188948,0.138374324065496,0.231989149567908,0.0323680883837813
0.01,7,0.771469845513963,0.458333333333333,0.96797385620915,0.149449426644812,0.237473531495448,0.0283866231158012
0.01,8,0.779617498514557,0.49,0.96797385620915,0.143906814347661,0.250998007960223,0.0323744628475825
0.01,9,0.779238710635769,0.481666666666667,0.96797385620915,0.144352408253645,0.254776214628112,0.0323744628475825
0.01,10,0.778405377302436,0.481666666666667,0.965953654188948,0.144715943220922,0.254776214628112,0.0341077730803811
0.0644444444444444,1,0.689188948306595,0.503333333333333,0.960843731431967,0.178863387448418,0.193841978538391,0.0382059023147259
0.0644444444444444,2,0.713022875816994,0.503333333333333,0.961853832442068,0.18794408394275,0.224734837367144,0.0396501119225966
0.0644444444444444,3,0.719491978609626,0.503333333333333,0.968924539512775,0.181331602134263,0.224734837367144,0.0321484462174386
0.0644444444444444,4,0.793545008912656,0.523333333333333,0.966934046345811,0.13941312331329,0.235523383908724,0.0310312908725543
0.0644444444444444,5,0.777823083778966,0.47,0.967944147355912,0.136217270856103,0.198529073698157,0.0295409179842468
0.0644444444444444,6,0.804378342245989,0.491666666666667,0.963933452168746,0.11550536031956,0.183868081146152,0.0330326258860552
0.0644444444444444,7,0.796108882947118,0.516666666666667,0.964943553178847,0.132917787633893,0.196228813191225,0.029673078630644
0.0644444444444444,8,0.813051841948901,0.525,0.964943553178847,0.117150622060196,0.221184117406977,0.0315616639976868
0.0644444444444444,9,0.81264780154486,0.515,0.966963755199049,0.1176074312965,0.228242913550907,0.0307970040620749
0.0644444444444444,10,0.810476084373143,0.515,0.963933452168746,0.118128352530324,0.228242913550907,0.0356388920807706
0.118888888888889,1,0.692358140225787,0.518333333333333,0.958912655971479,0.187445811448189,0.194530085135921,0.0366906431996002
0.118888888888889,2,0.710926916221034,0.503333333333333,0.960903149138443,0.192817245313799,0.224734837367144,0.038124657760196
0.118888888888889,3,0.723865121806298,0.511666666666667,0.967944147355912,0.185354291599291,0.229197751287839,0.0325420193159455
0.118888888888889,4,0.788620766488414,0.54,0.966934046345811,0.143768028513294,0.233193718493504,0.0310312908725543
0.118888888888889,5,0.787667112299465,0.501666666666667,0.96592394533571,0.133713363808936,0.20614831174856,0.0333831459589801
0.118888888888889,6,0.808039958407605,0.515,0.962923351158645,0.114662573105859,0.183429964084764,0.0333124380034736
0.118888888888889,7,0.798634135472371,0.533333333333333,0.964943553178847,0.135150571507677,0.215091533576038,0.029673078630644
0.118888888888889,8,0.81254679144385,0.525,0.962923351158645,0.117211067228795,0.221184117406977,0.0350052219621269
0.118888888888889,9,0.811132650029709,0.515,0.962923351158645,0.117977341424387,0.228242913550907,0.0408493584179409
0.118888888888889,10,0.808960932857992,0.515,0.959893048128342,0.118467906937337,0.228242913550907,0.0443284735348405
0.173333333333333,1,0.712355169340464,0.535,0.959863339275104,0.167643128656081,0.203058510338005,0.0349158116683946
0.173333333333333,2,0.73449494949495,0.535,0.961883541295306,0.202987491450823,0.223278857655314,0.0371840327839157
0.173333333333333,3,0.746214349376114,0.543333333333333,0.966963755199049,0.19332575664079,0.226568606239552,0.032900681194446
0.173333333333333,4,0.803873291740939,0.555,0.966934046345811,0.140986952726979,0.231319304619513,0.0310312908725543
0.173333333333333,5,0.786505496137849,0.508333333333333,0.964913844325609,0.142045755247342,0.222479496666056,0.0327693336874517
0.173333333333333,6,0.810969251336898,0.521666666666667,0.962923351158645,0.113888219019541,0.190137578743853,0.0333124380034736
0.173333333333333,7,0.798634135472371,0.533333333333333,0.964943553178847,0.135150571507677,0.215091533576038,0.029673078630644
