C,M,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.173333333333333,8,0.81254679144385,0.525,0.962923351158645,0.117211067228795,0.221184117406977,0.0350052219621269
0.173333333333333,9,0.811132650029709,0.515,0.962923351158645,0.117977341424387,0.228242913550907,0.0408493584179409
0.173333333333333,10,0.808960932857992,0.515,0.959893048128342,0.118467906937337,0.228242913550907,0.0443284735348405
0.227777777777778,1,0.726027183600713,0.543333333333333,0.958853238265003,0.168154016191097,0.195965044971226,0.0359513739813294
0.227777777777778,2,0.747878787878788,0.535,0.960873440285205,0.171232060137014,0.223278857655314,0.0365185322087989
0.227777777777778,3,0.756400772430184,0.543333333333333,0.963992869875223,0.161422094145489,0.226568606239552,0.0337721984523945
0.227777777777778,4,0.802004604872252,0.548333333333333,0.96592394533571,0.139749219564323,0.226853793616419,0.0304047164649807
0.227777777777778,5,0.785034165181224,0.485,0.964913844325609,0.140645889563707,0.215818410259404,0.0317883628610428
0.227777777777778,6,0.810320112893642,0.515,0.962923351158645,0.113248391459858,0.183429964084764,0.0333124380034736
0.227777777777778,7,0.798107546048722,0.518333333333333,0.964943553178847,0.134818252420333,0.215551951227914,0.029673078630644
0.227777777777778,8,0.812424242424242,0.516666666666667,0.962923351158645,0.117368016276576,0.226796784829934,0.0350052219621269
0.227777777777778,9,0.811010101010101,0.506666666666667,0.962923351158645,0.118131754825815,0.23331691239427,0.0408493584179409
0.227777777777778,10,0.808960932857992,0.515,0.959893048128342,0.118467906937337,0.228242913550907,0.0443284735348405
0.282222222222222,1,0.739310754604872,0.56,0.95787284610814,0.166521796252293,0.191365330337479,0.0351834387636239
0.282222222222222,2,0.754384284016637,0.543333333333333,0.95787284610814,0.164912106907894,0.216847846440187,0.0386159452942771
0.282222222222222,3,0.755842988710636,0.551666666666667,0.959982174688057,0.160500283138158,0.219907242723606,0.0373264242410653
0.282222222222222,4,0.796896167557932,0.565,0.960011883541295,0.130791650459364,0.212598861384695,0.0337723065945438
0.282222222222222,5,0.771519607843137,0.486666666666667,0.962982768865122,0.147459172476416,0.21088211011799,0.0321910196666264
0.282222222222222,6,0.784248366013072,0.491666666666667,0.957932263814617,0.140169837635415,0.183868081146152,0.0377097572530454
0.282222222222222,7,0.7879270647653,0.47,0.954901960784314,0.138196692419075,0.255491412906511,0.0370688760487529
0.282222222222222,8,0.803938651218063,0.493333333333333,0.951871657754011,0.125243368381752,0.270610208708894,0.0402055187822798
0.282222222222222,9,0.800118835412953,0.431666666666667,0.955912061794415,0.122772459084555,0.248264088162715,0.0386689669351413
0.282222222222222,10,0.798603683897802,0.483333333333333,0.953891859774213,0.123622148704661,0.250631386609944,0.041834148381316
0.336666666666667,1,0.739310754604872,0.56,0.95787284610814,0.166521796252293,0.191365330337479,0.0351834387636239
0.336666666666667,2,0.764359031491384,0.56,0.95787284610814,0.165155073437977,0.212700209944289,0.0386159452942771
0.336666666666667,3,0.765817736185383,0.568333333333333,0.959982174688057,0.160656255029741,0.215151643928317,0.0373264242410653
0.336666666666667,4,0.796896167557932,0.565,0.960011883541295,0.130791650459364,0.212598861384695,0.0337723065945438
0.336666666666667,5,0.771519607843137,0.486666666666667,0.962982768865122,0.147459172476416,0.21088211011799,0.0321910196666264
0.336666666666667,6,0.781396316102199,0.491666666666667,0.954931669637552,0.134816416986982,0.183868081146152,0.0369823811942372
0.336666666666667,7,0.7879270647653,0.47,0.954901960784314,0.138196692419075,0.255491412906511,0.0370688760487529
0.336666666666667,8,0.803938651218063,0.493333333333333,0.951871657754011,0.125243368381752,0.270610208708894,0.0402055187822798
0.336666666666667,9,0.799815805109923,0.431666666666667,0.954901960784314,0.12289224673135,0.248264088162715,0.039502136110914
0.336666666666667,10,0.798603683897802,0.483333333333333,0.953891859774213,0.123622148704661,0.250631386609944,0.041834148381316
0.391111111111111,1,0.739310754604872,0.56,0.95787284610814,0.166521796252293,0.191365330337479,0.0351834387636239
0.391111111111111,2,0.764359031491384,0.56,0.95787284610814,0.165155073437977,0.212700209944289,0.0386159452942771
0.391111111111111,3,0.765817736185383,0.568333333333333,0.959982174688057,0.160656255029741,0.215151643928317,0.0373264242410653
0.391111111111111,4,0.796896167557932,0.565,0.960011883541295,0.130791650459364,0.212598861384695,0.0337723065945438
0.391111111111111,5,0.771014557338087,0.478333333333333,0.962982768865122,0.146848794088633,0.204974066203732,0.0321910196666264
0.391111111111111,6,0.781396316102199,0.491666666666667,0.954931669637552,0.134816416986982,0.183868081146152,0.0369823811942372
0.391111111111111,7,0.7879270647653,0.47,0.954901960784314,0.138196692419075,0.255491412906511,0.0370688760487529
0.391111111111111,8,0.803938651218063,0.493333333333333,0.951871657754011,0.125243368381752,0.270610208708894,0.0402055187822798
0.391111111111111,9,0.799815805109923,0.431666666666667,0.954901960784314,0.12289224673135,0.248264088162715,0.039502136110914
0.391111111111111,10,0.798603683897802,0.483333333333333,0.953891859774213,0.123622148704661,0.250631386609944,0.041834148381316
0.445555555555556,1,0.739310754604872,0.56,0.95787284610814,0.166521796252293,0.191365330337479,0.0351834387636239
0.445555555555556,2,0.764359031491384,0.56,0.95787284610814,0.165155073437977,0.212700209944289,0.0386159452942771
0.445555555555556,3,0.765817736185383,0.568333333333333,0.959982174688057,0.160656255029741,0.215151643928317,0.0373264242410653
0.445555555555556,4,0.796896167557932,0.565,0.960011883541295,0.130791650459364,0.212598861384695,0.0337723065945438
0.445555555555556,5,0.771014557338087,0.478333333333333,0.962982768865122,0.146848794088633,0.204974066203732,0.0321910196666264
0.445555555555556,6,0.785072786690434,0.491666666666667,0.954931669637552,0.127783648011011,0.183868081146152,0.0369823811942372
0.445555555555556,7,0.787191770647653,0.47,0.954901960784314,0.138584998975758,0.255491412906511,0.0370688760487529
0.445555555555556,8,0.803938651218063,0.493333333333333,0.951871657754011,0.125243368381752,0.270610208708894,0.0402055187822798
0.445555555555556,9,0.799815805109923,0.431666666666667,0.954901960784314,0.12289224673135,0.248264088162715,0.039502136110914
0.445555555555556,10,0.798603683897802,0.483333333333333,0.953891859774213,0.123622148704661,0.250631386609944,0.041834148381316
0.5,1,0.739310754604872,0.56,0.95787284610814,0.166521796252293,0.191365330337479,0.0351834387636239
0.5,2,0.764359031491384,0.56,0.95787284610814,0.165155073437977,0.212700209944289,0.0386159452942771
0.5,3,0.765817736185383,0.568333333333333,0.959982174688057,0.160656255029741,0.215151643928317,0.0373264242410653
0.5,4,0.806113339275104,0.581666666666667,0.960011883541295,0.127123471821983,0.206566067469672,0.0337723065945438
0.5,5,0.774691027926322,0.478333333333333,0.962002376708259,0.140700858164962,0.204974066203732,0.0323986095538371
0.5,6,0.785072786690434,0.491666666666667,0.954931669637552,0.127783648011011,0.183868081146152,0.0369823811942372
0.5,7,0.787191770647653,0.47,0.954901960784314,0.138584998975758,0.255491412906511,0.0370688760487529
0.5,8,0.803938651218063,0.493333333333333,0.951871657754011,0.125243368381752,0.270610208708894,0.0402055187822798
0.5,9,0.799815805109923,0.431666666666667,0.954901960784314,0.12289224673135,0.248264088162715,0.039502136110914
0.5,10,0.798603683897802,0.483333333333333,0.953891859774213,0.123622148704661,0.250631386609944,0.041834148381316
