maxdepth,mfinal,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,50,0.887167260843731,0.196666666666667,0.998989898989899,0.103386812735489,0.223581094341911,0.00553255108591076
2,50,0.919737819370172,0.263333333333333,0.995989304812834,0.0820463248466927,0.225118104379768,0.0104010983558314
3,50,0.919379827688651,0.446666666666667,0.984016636957813,0.0847920288795878,0.287957531990197,0.0204367902183298
4,50,0.940203505644682,0.416666666666667,0.985026737967914,0.062875424042945,0.267598945069481,0.0171859648463008
5,50,0.928953505644682,0.448333333333333,0.982085561497326,0.0768768570023875,0.249994252807503,0.0242228351504579
6,50,0.925681075460487,0.493333333333333,0.985056446821153,0.0823702702140418,0.259553108422831,0.0188175542908837
7,50,0.934552881758764,0.5,0.986036838978015,0.0721138943269097,0.27792333351186,0.0188039391586656
8,50,0.938137254901961,0.503333333333333,0.986007130124777,0.0629543028259389,0.290342643396923,0.0189270875834229
9,50,0.926348781937017,0.52,0.98202614379085,0.0765426737930356,0.287558090083402,0.0255970693332258
10,50,0.929011437908497,0.488333333333333,0.985026737967914,0.0741748910707049,0.286381507461798,0.0204534925274739
1,100,0.899536541889483,0.195,0.998989898989899,0.0915039606470176,0.192241765887968,0.00553255108591076
2,100,0.930724153297683,0.286666666666667,0.995008912655971,0.0694626474048769,0.24244918889409,0.0113526484174184
3,100,0.925820707070707,0.446666666666667,0.986036838978015,0.0826113109174074,0.272578154984424,0.0204185539355027
4,100,0.938068924539513,0.446666666666667,0.984046345811052,0.0634047652680423,0.262262481486396,0.0188010498327761
5,100,0.929820261437909,0.463333333333333,0.982055852644088,0.0738443021802884,0.256949388996641,0.0242379644911517
6,100,0.927995395127748,0.48,0.987017231134878,0.0806447597917197,0.267039968595688,0.0188350138360962
7,100,0.928559120617944,0.518333333333333,0.984046345811052,0.0776950358617088,0.279001709713379,0.0231543990556132
8,100,0.937446524064171,0.495,0.984016636957813,0.0657366428967475,0.276788852675676,0.0204367902183298
9,100,0.928184789067142,0.501666666666667,0.983036244800951,0.0747301125309765,0.274013381668365,0.0230953317155859
10,100,0.931906565656566,0.501666666666667,0.984016636957813,0.0753485877014362,0.28662222323221,0.0189209841839454
1,150,0.906301990493167,0.18,0.998989898989899,0.0836390983120598,0.186898460354168,0.00553255108591076
2,150,0.930998960190137,0.288333333333333,0.99399881164587,0.0713461555486872,0.250751743327159,0.012209056190134
3,150,0.931071004159239,0.425,0.985056446821153,0.0703452251881322,0.269018009908579,0.0204310931284791
4,150,0.938240493166964,0.446666666666667,0.987017231134878,0.0635931533187759,0.262262481486396,0.0188350138360962
5,150,0.9329270647653,0.471666666666667,0.983065953654189,0.0733633243816257,0.253827029529048,0.0243363854686391
