mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,0.969870766488414,0.268333333333333,0.998989898989899,0.0284620251335362,0.183586554487266,0.00553255108591076
5,0.967075906120024,0.428333333333333,0.991919191919192,0.027190087614043,0.216827968251543,0.0176755236662326
8,0.965848187759953,0.468333333333333,0.990938799762329,0.0310533831900899,0.219514877876638,0.0180240980043631
12,0.960423351158645,0.496666666666667,0.989958407605466,0.0363384489354668,0.233390797521702,0.0183118392249821
15,0.955049762329174,0.473333333333333,0.988948306595365,0.0419064575184587,0.216051292334807,0.0185727492115974
19,0.95312908496732,0.508333333333333,0.98698752228164,0.0463879348243034,0.228595159892848,0.0203826595669671
22,0.951926619132502,0.485,0.985947712418301,0.047924578036102,0.22481793400055,0.0219811109360427
26,0.945649881164587,0.506666666666667,0.985947712418301,0.0555510130375919,0.242378065090019,0.0204899980734109
29,0.94364156268568,0.485,0.984967320261438,0.0592059578606839,0.234208130251411,0.0204980842655882
33,0.942144979203803,0.475,0.985977421271539,0.0597465355402214,0.214857611229968,0.0204662556844167
