coeflearn,maxdepth,mfinal,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
Breiman,1,50,0.955677361853832,0.586666666666667,0.979916815210933,0.0352108524894135,0.257619518072591,0.0214092328475927
Freund,1,50,0.957544563279857,0.621666666666667,0.97688651218063,0.0396918630285398,0.238776815909945,0.0271031805218012
Zhu,1,50,0.956154188948307,0.66,0.977956030897207,0.0421457608291796,0.252368094600751,0.0261893156532348
Breiman,2,50,0.962814913844326,0.558333333333333,0.983927510398099,0.0349060164713545,0.24847234402872,0.0205884193382882
Freund,2,50,0.965998217468806,0.598333333333333,0.982857991681521,0.0265579047690619,0.187765138208446,0.0189509997355409
Zhu,2,50,0.956990493166964,0.52,0.981937017231135,0.0386425066760661,0.241618108478706,0.0187552225710894
Breiman,3,50,0.964469696969697,0.575,0.986928104575163,0.0348799313178866,0.212842016852714,0.0189172198415642
Freund,3,50,0.969031491384433,0.538333333333333,0.989958407605466,0.0264049656381628,0.249372776399501,0.0144452421901859
Zhu,3,50,0.962366310160428,0.551666666666667,0.984967320261438,0.0413164098046724,0.232112982794175,0.0205874214887265
Breiman,4,50,0.967909982174688,0.566666666666667,0.987938205585264,0.0251217161232456,0.249942522128221,0.0170038342711329
Freund,4,50,0.967330659536542,0.583333333333333,0.98989898989899,0.0310803424057074,0.239011373749471,0.0200271076439778
Zhu,4,50,0.971231431966726,0.605,0.988948306595365,0.0296102043893355,0.234649408325668,0.0202058464363937
Breiman,5,50,0.9692394533571,0.55,0.988918597742127,0.0255851097307238,0.270376493571209,0.0168158498402518
Freund,5,50,0.969056743909685,0.576666666666667,0.987938205585264,0.02417542029737,0.232947135239075,0.0170038342711329
Zhu,5,50,0.965895721925134,0.536666666666667,0.991978609625668,0.0306650822165826,0.22702473408212,0.0156975858724626
Breiman,6,50,0.96674688057041,0.535,0.98989898989899,0.0369323674716695,0.222505327328707,0.0165658264724404
Freund,6,50,0.963299168152109,0.583333333333333,0.985977421271539,0.0382189455295087,0.239011373749471,0.0204662556844167
Zhu,6,50,0.963679441473559,0.583333333333333,0.987967914438503,0.0377946216000634,0.239011373749471,0.0202737169915054
Breiman,7,50,0.961993464052288,0.576666666666667,0.987967914438503,0.0379329820493841,0.228840154020124,0.0169716125273503
Freund,7,50,0.965262923351159,0.603333333333333,0.989928698752228,0.037392894305881,0.211290506556541,0.0183450416400838
