threshold,pruned,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.01,yes,0.770412953060012,0.583333333333333,0.955882352941177,0.157411398514048,0.2229633236166,0.0409519243594241
0.01,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.0644444444444444,yes,0.771971182412359,0.583333333333333,0.957902554961379,0.157060569953545,0.2229633236166,0.041600234444005
0.0644444444444444,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.118888888888889,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.118888888888889,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.173333333333333,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.173333333333333,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.227777777777778,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.227777777777778,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.282222222222222,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.282222222222222,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.336666666666667,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.336666666666667,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.391111111111111,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.391111111111111,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.445555555555556,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.445555555555556,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
0.5,yes,0.770961081402258,0.57,0.956892453951278,0.156890801666593,0.22151515866243,0.0409048980655113
0.5,no,0.73903743315508,0.55,0.956892453951278,0.169594237798602,0.230441854435912,0.0394194518210496
