iter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.867969399881165,0.441666666666667,0.949851455733809,0.0892074872945764,0.250201068568149,0.0436660135377271
21,0.950525846702317,0.648333333333333,0.968092691622103,0.056690681065695,0.24617183980432,0.0332908877858931
41,0.95171568627451,0.636666666666667,0.971984551396316,0.0550362631089466,0.227404141734844,0.0283448585212463
61,0.952155377302436,0.67,0.968983957219251,0.0538405960563492,0.210336348048417,0.0254955469789107
81,0.951595365418895,0.668333333333333,0.96301247771836,0.0485910450962239,0.223021312315945,0.0290983379920998
101,0.942699049316696,0.66,0.957961972667855,0.0556625625246357,0.204433616238318,0.0322355338151681
121,0.952277183600713,0.658333333333333,0.959001782531194,0.0563602493179827,0.217383870437613,0.0339795197846803
141,0.958691325014854,0.658333333333333,0.962982768865122,0.0487316860205491,0.233076623975203,0.0321339583957813
161,0.946620617944147,0.631666666666667,0.95891265597148,0.0581736580362827,0.229122514032955,0.0383778807683388
181,0.947991681521093,0.655,0.962982768865122,0.056464225431253,0.213489077488514,0.0341016155195849
