model,winnow,trials,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
rules,FALSE,1,0.790567439096851,0.528333333333333,0.962923351158645,0.113791374031818,0.196382514379522,0.0332573008637194
rules,TRUE,1,0.6915834818776,0.378333333333333,0.97192513368984,0.132228398103762,0.257870367504259,0.0294445751534337
tree,FALSE,1,0.830356506238859,0.52,0.958912655971479,0.115225411560171,0.195906381582703,0.0358172316276138
tree,TRUE,1,0.770715240641711,0.363333333333333,0.969875222816399,0.137879121155606,0.254251210736389,0.0336558531932955
rules,FALSE,10,0.937878045157457,0.511666666666667,0.988978015448604,0.0622914737641531,0.202008592055803,0.0184423347944979
rules,TRUE,10,0.820498366013072,0.383333333333333,0.981045751633987,0.176696541736389,0.235376929308237,0.0286861061582716
tree,FALSE,10,0.932761437908497,0.548333333333333,0.984907902554961,0.0606326515971412,0.232112982794175,0.0190350073338577
tree,TRUE,10,0.810909833630422,0.378333333333333,0.978966131907308,0.163859761297139,0.260199967310732,0.0263734448815414
rules,FALSE,20,0.954072341057635,0.55,0.987938205585264,0.0406686645607702,0.262284394214135,0.018773907341158
rules,TRUE,20,0.821775103980986,0.375,0.979055258467023,0.174130166837585,0.244508655794883,0.0314411611631778
tree,FALSE,20,0.950680332739156,0.551666666666667,0.986928104575163,0.0425212608669601,0.232112982794175,0.0171619343198789
tree,TRUE,20,0.844119132501485,0.4,0.978015448603684,0.162631892573216,0.263268579263812,0.0247839852648918
rules,FALSE,30,0.960063874034462,0.525,0.986928104575163,0.0329340470114552,0.244860973925459,0.0189172198415642
rules,TRUE,30,0.820191622103387,0.391666666666667,0.981045751633987,0.172857263320651,0.269124805470511,0.0253755084817408
tree,FALSE,30,0.958713606654783,0.575,0.988918597742127,0.0418857928371519,0.260222053718318,0.0168158498402518
tree,TRUE,30,0.842200683303625,0.416666666666667,0.978045157456922,0.166842271592024,0.269204874338887,0.0258795166584738
rules,FALSE,40,0.959964349376114,0.558333333333333,0.985918003565062,0.0361819475376048,0.238921186447191,0.0172575382190425
rules,TRUE,40,0.822199940582294,0.391666666666667,0.980065359477124,0.177478246122716,0.269124805470511,0.0263431868769408
tree,FALSE,40,0.962253416518122,0.558333333333333,0.989928698752228,0.0358007348251922,0.247777477105809,0.0165291057181621
tree,TRUE,40,0.839874480095068,0.41,0.979055258467023,0.164651880341404,0.272092783363728,0.0261325835998611
rules,FALSE,50,0.959462269756387,0.55,0.986928104575163,0.0376501641359663,0.236351579147501,0.0171619343198789
rules,TRUE,50,0.819045603089721,0.393333333333333,0.981075460487225,0.17762712836115,0.273777323729533,0.0265123384514705
tree,FALSE,50,0.961005644682115,0.566666666666667,0.988948306595365,0.0389664671520966,0.249942522128221,0.0167814718169373
tree,TRUE,50,0.83900623885918,0.418333333333333,0.979055258467023,0.167153151684985,0.291098790356687,0.027317414638614
rules,FALSE,60,0.96194890077243,0.55,0.986928104575163,0.03479473033856,0.236351579147501,0.0171619343198789
rules,TRUE,60,0.817033571004159,0.39,0.979055258467023,0.178908424372338,0.259109882162921,0.0261325835998611
tree,FALSE,60,0.962664884135472,0.558333333333333,0.988948306595365,0.0381611926781822,0.247777477105809,0.0167814718169373
tree,TRUE,60,0.836011586452763,0.418333333333333,0.980065359477124,0.170674214711187,0.291098790356687,0.0263431868769408
rules,FALSE,70,0.962318775995247,0.55,0.986928104575163,0.0353518925797809,0.236351579147501,0.0171619343198789
rules,TRUE,70,0.816326500297089,0.383333333333333,0.980065359477124,0.180513956118512,0.261406452355969,0.0251124327355833
tree,FALSE,70,0.967295008912656,0.558333333333333,0.987938205585264,0.0339089662607312,0.247777477105809,0.0170038342711329
tree,TRUE,70,0.838068924539513,0.41,0.981075460487225,0.170102435454811,0.292256382485393,0.0265123384514705
rules,FALSE,80,0.964000297088532,0.55,0.987938205585264,0.0348413983411349,0.236351579147501,0.0170038342711329
rules,TRUE,80,0.819488265002971,0.383333333333333,0.979055258467023,0.177925132020113,0.261406452355969,0.0261325835998611
tree,FALSE,80,0.967476232917409,0.558333333333333,0.987938205585264,0.0336693405755918,0.247777477105809,0.0170038342711329
tree,TRUE,80,0.836524064171123,0.411666666666667,0.980065359477124,0.17047245774666,0.289078003234461,0.0263431868769408
rules,FALSE,90,0.965326797385621,0.558333333333333,0.988948306595365,0.0351272822231568,0.238921186447191,0.0167814718169373
rules,TRUE,90,0.819675430778372,0.383333333333333,0.979055258467023,0.179057195778927,0.261406452355969,0.0261325835998611
tree,FALSE,90,0.964584076054664,0.558333333333333,0.987938205585264,0.0366139310257218,0.247777477105809,0.0170038342711329
tree,TRUE,90,0.83850118835413,0.426666666666667,0.980065359477124,0.169372818174496,0.297035157948468,0.0275189518653538
