threshold,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.153143687979307,0.958425430778372,0.24,0.993969102792632,0.0495620940515724,0.188643067448957,0.0122689241540975
0.61257475191723,0.956538918597742,0.115,0.994979203802733,0.0487098910055448,0.118285160989639,0.01141972680944
1.07200581585515,0.954105763517528,0.03,1,0.046168327345993,0.078344949004277,0
1.53143687979308,0.949437017231135,0,1,0.0441930165980222,0,0
1.990867943731,0.942798573975045,0,1,0.0443962133590038,0,0
2.45029900766892,0.930417409387998,0,1,0.0492401270951194,0,0
2.90973007160684,0.921871657754011,0,1,0.0485785078533162,0,0
3.36916113554476,0.91188651218063,0,1,0.0509357850939147,0,0
3.82859219948269,0.900971479500891,0,1,0.05256063208095,0,0
4.28802326342061,0.561541889483066,0,1,0.117304439546063,0,0
