nprune,degree,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,1,0.905946226975639,0.308333333333333,0.993969102792632,0.0567080718389024,0.209302344144464,0.0122689241540975
3,1,0.920643196672608,0.413333333333333,0.983957219251337,0.0530159283374496,0.265853645676602,0.0233671298055419
5,1,0.936898395721925,0.433333333333333,0.992929292929293,0.0516056369039351,0.26888445580716,0.0152729373634464
7,1,0.940262923351159,0.47,0.990938799762329,0.0550113687626718,0.25784250739684,0.0161721641080176
8,1,0.943853238265003,0.48,0.992959001782531,0.0520426019051885,0.287558090083402,0.0152269853363093
10,1,0.952730243612597,0.501666666666667,0.990968508615567,0.0469904809872475,0.268932542924203,0.0161325666740991
12,1,0.954202317290553,0.5,0.991978609625668,0.0452273529823192,0.267813625364794,0.0156975858724626
13,1,0.95382798573975,0.54,0.991978609625668,0.0471340067156234,0.267620420848583,0.0156975858724626
15,1,0.956786987522282,0.555,0.992988710635769,0.046642501770525,0.289276743764096,0.0151808340697939
17,1,0.960153000594177,0.538333333333333,0.989928698752228,0.0419255596733344,0.274076296114702,0.0183450416400838
