MAGOH
RBM22
SRRM4
PSF
SRSF6
RBM3
RBM45
SRSF1
U2AF1
U2AF2
PRPF8
CELF1
SND1
TIA1
SRSF4
SRSF5
TRA2A
TRA2B
SRSF3
