nu,maxdepth,iter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.1,1,50,0.940588235294118,0.516666666666667,0.977985739750446,0.0623204928956183,0.256075599469528,0.0283675268641598
0.1,2,50,0.956965240641711,0.488333333333333,0.9849376114082,0.0367981557793559,0.255181927439923,0.0206095180777076
0.1,3,50,0.961984551396316,0.488333333333333,0.985977421271539,0.0343137752488305,0.237691241817576,0.0204662556844167
0.1,4,50,0.968395721925134,0.516666666666667,0.989988116458705,0.0281101518154361,0.256075599469528,0.0198434695722219
0.1,5,50,0.962248960190137,0.495,0.987967914438503,0.0387606534820317,0.219069348176199,0.01864656493077
0.1,6,50,0.967278669043375,0.478333333333333,0.989958407605466,0.031741339580436,0.271865627728534,0.0164922478415576
0.1,7,50,0.961421568627451,0.503333333333333,0.992929292929293,0.035634671945151,0.248073033369323,0.0152729373634464
0.1,8,50,0.961700831847891,0.45,0.989958407605466,0.0411085530013306,0.264575131106459,0.0164922478415576
0.1,9,50,0.961109625668449,0.498333333333333,0.989988116458705,0.0374677125324317,0.260133696836617,0.0144029892333614
0.1,10,50,0.962704991087344,0.458333333333333,0.99399881164587,0.0388354643691507,0.236746384501881,0.0144471382976962
0.1,1,100,0.953319964349376,0.545,0.98098633392751,0.0472213344463395,0.278031876118425,0.02554592075758
0.1,2,100,0.963881461675579,0.533333333333333,0.985947712418301,0.0342899902783191,0.259752313498487,0.0189784422203054
0.1,3,100,0.96770944741533,0.536666666666667,0.984967320261438,0.0349498136104918,0.278212686358072,0.0204980842655882
0.1,4,100,0.969004753416518,0.561666666666667,0.990998217468806,0.0304339441948776,0.252464860420468,0.0139874758271688
0.1,5,100,0.962725787284611,0.503333333333333,0.991978609625668,0.0405519154274783,0.214127473045015,0.0155802354676691
0.1,6,100,0.96949494949495,0.463333333333333,0.993969102792632,0.0309399811645979,0.229667425719847,0.0122689241540975
0.1,7,100,0.964148841354724,0.495,0.994949494949495,0.0357105720808616,0.209000082494622,0.0114863339936197
0.1,8,100,0.963453654188948,0.478333333333333,0.99399881164587,0.0382051280361761,0.226929783053661,0.012209056190134
0.1,9,100,0.966050207961973,0.451666666666667,0.990998217468806,0.0342392363011173,0.24121936408422,0.0159783676248402
0.1,10,100,0.964919786096257,0.428333333333333,0.992988710635769,0.0400488928973426,0.235138746031056,0.0150594574291138
0.1,1,150,0.958422459893048,0.561666666666667,0.982976827094474,0.0410049348162399,0.253146861195894,0.0257222507810413
0.1,2,150,0.966356209150327,0.531666666666667,0.985947712418301,0.0337139063739573,0.266355781425616,0.0189784422203054
0.1,3,150,0.969771241830065,0.56,0.98698752228164,0.0346012429486568,0.278975959908549,0.0169939511931279
0.1,4,150,0.966825609031491,0.563333333333333,0.991978609625668,0.0357237837353731,0.236327261890463,0.0135308900405371
0.1,5,150,0.96301990493167,0.508333333333333,0.99399881164587,0.0424678923757409,0.225175538166351,0.0144471382976962
0.1,6,150,0.966515151515152,0.511666666666667,0.992988710635769,0.0372551695894859,0.204974066203732,0.0129278190782661
0.1,7,150,0.961862745098039,0.518333333333333,0.994949494949495,0.0404487664169207,0.233962616131566,0.0114863339936197
0.1,8,150,0.962664884135472,0.473333333333333,0.994028520499109,0.0398958362742127,0.228463131158729,0.0143962679901989
0.1,9,150,0.963395721925134,0.475,0.992008318478907,0.0377637857522817,0.253509844738445,0.0155370730582064
0.1,10,150,0.962281639928699,0.451666666666667,0.992008318478907,0.0446007028310971,0.213542910705656,0.0155370730582064
0.1,1,200,0.962352941176471,0.586666666666667,0.981966726084373,0.0390036617399128,0.258287908501658,0.025697035876371
0.1,2,200,0.968830956625074,0.556666666666667,0.9849376114082,0.0326505671292984,0.274092022469843,0.0206095180777076
0.1,3,200,0.971329471182412,0.573333333333333,0.987967914438503,0.0319614030945774,0.280619184014175,0.01686313039691
0.1,4,200,0.966365121806298,0.555,0.992988710635769,0.0362121678516146,0.224510962792005,0.0129278190782661
0.1,5,200,0.962124183006536,0.515,0.990998217468806,0.0419932591087877,0.218596621105224,0.0159783676248402
0.1,6,200,0.964601901366607,0.52,0.992988710635769,0.0374028436802631,0.219560689905375,0.0129278190782661
0.1,7,200,0.961470588235294,0.525,0.992988710635769,0.0419791097728319,0.236624976091589,0.0129278190782661
0.1,8,200,0.961237373737374,0.49,0.992008318478907,0.0438120309866928,0.229091157884126,0.0155370730582064
0.1,9,200,0.962250445632799,0.481666666666667,0.992008318478907,0.039749731301191,0.242999692540366,0.0155370730582064
0.1,10,200,0.961825609031491,0.458333333333333,0.992008318478907,0.0474886163572205,0.211351697958368,0.0155370730582064
0.1,1,250,0.9642394533571,0.561666666666667,0.984967320261438,0.0362305064352882,0.244485149867527,0.0189871721596515
