nu,maxdepth,iter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.1,2,250,0.968181818181818,0.556666666666667,0.984907902554961,0.0303840668905515,0.257887082124012,0.0206315467460452
0.1,3,250,0.970010398098633,0.603333333333333,0.986957813428402,0.0323455755296697,0.280680617776508,0.0187925006549073
0.1,4,250,0.967339572192513,0.571666666666667,0.993018419489008,0.0343757991977328,0.238415507094208,0.0150127303505971
0.1,5,250,0.961109625668449,0.531666666666667,0.989988116458705,0.0435953146090872,0.216748437266503,0.0163433427056778
0.1,6,250,0.963752228163993,0.52,0.992988710635769,0.0393908895872361,0.219560689905375,0.0129278190782661
0.1,7,250,0.958750742721331,0.516666666666667,0.992008318478907,0.0446812279585086,0.213482347381881,0.0155370730582064
0.1,8,250,0.957606951871658,0.495,0.991978609625668,0.0493769575068434,0.221806843587093,0.0135308900405371
0.1,9,250,0.961473559120618,0.503333333333333,0.989988116458705,0.0432924926171316,0.244925510609096,0.0163433427056778
0.1,10,250,0.96020944741533,0.473333333333333,0.990998217468806,0.0481913573933802,0.208745569159391,0.0178504187314689
0.1,1,300,0.965145573380867,0.553333333333333,0.979976232917409,0.0351939345714317,0.242093360921564,0.0241621285833639
0.1,2,300,0.966683006535948,0.565,0.983927510398099,0.0314620052930476,0.260023208513235,0.0205884193382882
0.1,3,300,0.970010398098633,0.61,0.987997623291741,0.0335572047360918,0.288396279090254,0.0168305850325995
0.1,4,300,0.967874331550802,0.585,0.993018419489008,0.0333386277298266,0.250912129144297,0.0150127303505971
0.1,5,300,0.961665181224005,0.555,0.992008318478907,0.0410778407464496,0.246125143386239,0.0155370730582064
0.1,6,300,0.961732026143791,0.52,0.992988710635769,0.0427657778611406,0.229166405433498,0.0129278190782661
0.1,7,300,0.957884729649435,0.508333333333333,0.991978609625668,0.0481784597064437,0.215391917584945,0.0135308900405371
0.1,8,300,0.958314022578728,0.486666666666667,0.990968508615567,0.0490785728809824,0.216529576435332,0.0140331924578843
0.1,9,300,0.957626262626263,0.505,0.988978015448604,0.0473593597275697,0.24045574544444,0.0166370218410061
0.1,10,300,0.958535353535354,0.466666666666667,0.989958407605466,0.0520234976566971,0.207752062661794,0.0164922478415576
0.1,1,350,0.965797682709447,0.561666666666667,0.979976232917409,0.0350666777687644,0.253146861195894,0.0241621285833639
0.1,2,350,0.967287581699346,0.565,0.982947118241236,0.0327996490660378,0.260023208513235,0.0204967479249641
0.1,3,350,0.970154486036839,0.61,0.989007724301842,0.0335404619487497,0.273041616128258,0.0166021635345188
0.1,4,350,0.967161319073084,0.593333333333333,0.993018419489008,0.0359543224643271,0.244149944506033,0.0150127303505971
0.1,5,350,0.962040998217469,0.546666666666667,0.993018419489008,0.0429354550269701,0.243513553164321,0.0150127303505971
0.1,6,350,0.959292929292929,0.528333333333333,0.991978609625668,0.0433293021872336,0.22348468023301,0.0135308900405371
0.1,7,350,0.957690136660725,0.531666666666667,0.990998217468806,0.0483999902738856,0.213138830154292,0.0159783676248402
0.1,8,350,0.9584165181224,0.495,0.990968508615567,0.0481210919618724,0.211867720605294,0.0140331924578843
0.1,9,350,0.954625668449198,0.496666666666667,0.988978015448604,0.0489502319772559,0.235962202311176,0.0166370218410061
0.1,10,350,0.956687462863933,0.473333333333333,0.989988116458705,0.052756721730813,0.208745569159391,0.0181778455194631
0.1,1,400,0.965689245395128,0.563333333333333,0.981937017231135,0.0368521962076547,0.251524089931943,0.0232754382234534
0.1,2,400,0.968548722519311,0.565,0.982947118241236,0.0310213470957992,0.260023208513235,0.0204967479249641
0.1,3,400,0.968957219251337,0.61,0.989007724301842,0.0327386301913691,0.273041616128258,0.0166021635345188
0.1,4,400,0.96605614973262,0.6,0.992008318478907,0.0393909809423209,0.252572966582483,0.0155370730582064
0.1,5,400,0.958490790255496,0.556666666666667,0.993018419489008,0.0446068349038494,0.257887082124012,0.0150127303505971
0.1,6,400,0.959887106357695,0.55,0.990998217468806,0.0449106242207576,0.230441854435912,0.0159783676248402
0.1,7,400,0.958037730243613,0.523333333333333,0.989988116458705,0.0485843576772558,0.21922014338187,0.0181778455194631
0.1,8,400,0.955840760546643,0.511666666666667,0.988948306595365,0.0507615062204238,0.231070721124334,0.0167814718169373
0.1,9,400,0.954921271538919,0.505,0.988978015448604,0.048488248919174,0.24045574544444,0.0166370218410061
0.1,10,400,0.954336007130125,0.473333333333333,0.987967914438503,0.0545626842521989,0.208745569159391,0.01864656493077
0.1,1,450,0.965674390968509,0.571666666666667,0.980956625074272,0.0382681355072967,0.253487173494906,0.0231071888737956
0.1,2,450,0.969445929887106,0.556666666666667,0.981937017231135,0.0301289060811792,0.257887082124012,0.0218727411990259
0.1,3,450,0.969916815210933,0.601666666666667,0.989007724301842,0.0318983917575386,0.272435798616511,0.0166021635345188
0.1,4,450,0.965715983363042,0.6,0.992008318478907,0.0386931640083706,0.252572966582483,0.0155370730582064
0.1,5,450,0.958830956625074,0.563333333333333,0.993018419489008,0.0451823798617439,0.250837677054076,0.0150127303505971
0.1,6,450,0.958379382055853,0.55,0.990998217468806,0.0446557901465089,0.230441854435912,0.0159783676248402
0.1,7,450,0.957431669637552,0.531666666666667,0.989988116458705,0.0492064714940727,0.213138830154292,0.0181778455194631
0.1,8,450,0.953871063576946,0.511666666666667,0.988948306595365,0.0530349847873956,0.231070721124334,0.0167814718169373
0.1,9,450,0.952915923945336,0.49,0.987967914438503,0.0505181008507386,0.229842524800996,0.01686313039691
0.1,10,450,0.952125668449198,0.481666666666667,0.987967914438503,0.0569101477676317,0.214750590434471,0.01864656493077
0.1,1,500,0.966396316102198,0.57,0.980956625074272,0.0368000999975663,0.26864923933096,0.0231071888737956
0.1,2,500,0.970188651218063,0.565,0.981937017231135,0.0300898466427336,0.251598338901375,0.0218727411990259
0.1,3,500,0.970176767676768,0.601666666666667,0.990017825311943,0.0306673722706096,0.272435798616511,0.0163059529502706
0.1,4,500,0.966365121806298,0.6,0.992008318478907,0.0381848996431652,0.252572966582483,0.0155370730582064
0.1,5,500,0.95958110516934,0.565,0.993018419489008,0.044287817264033,0.251598338901375,0.0150127303505971
0.1,6,500,0.957433155080214,0.541666666666667,0.991978609625668,0.0456247099579548,0.236746384501881,0.0135308900405371
0.1,7,500,0.955757575757576,0.531666666666667,0.989988116458705,0.0525321583134965,0.213138830154292,0.0181778455194631
0.1,8,500,0.952320261437908,0.505,0.987938205585264,0.0548253209316922,0.231319304619513,0.0170038342711329
0.1,9,500,0.952764408793821,0.481666666666667,0.987967914438503,0.0525821665587936,0.242999692540366,0.01686313039691
0.1,10,500,0.951418597742127,0.481666666666667,0.98698752228164,0.0575561690023594,0.214750590434471,0.0217126943967455
