maxinter,mode,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,mean,0.906837492572787,0.268333333333333,0.997979797979798,0.076335718692102,0.201923224285239,0.00768812520310492
1,outbag,0.906563428401664,0.266666666666667,0.997979797979798,0.0761714692972722,0.202285788502023,0.00768812520310492
2,mean,0.939953951277481,0.276666666666667,0.986066547831254,0.0576241632016674,0.209980842038002,0.0242399421003576
2,outbag,0.938970588235294,0.335,0.986036838978015,0.0494684422692418,0.228997063676401,0.020328474606367
3,mean,0.949475638740345,0.431666666666667,0.985056446821153,0.051997333385338,0.236891992460602,0.0170520125661496
3,outbag,0.952394533571004,0.423333333333333,0.984016636957813,0.0468561818307505,0.229592342377007,0.0202563931744369
4,mean,0.949432560903149,0.41,0.988027332144979,0.056262722264201,0.200602540637812,0.0200371578840854
4,outbag,0.953762626262626,0.44,0.986007130124777,0.0448209110165405,0.246142655581173,0.0170656075913225
5,mean,0.940674390968509,0.41,0.986036838978015,0.0624373288704209,0.229842524800996,0.0216618366433988
5,outbag,0.951338383838384,0.415,0.986066547831254,0.0448880880349775,0.208090663264672,0.0202138204506709
6,mean,0.95209595959596,0.465,0.989958407605466,0.0477381715921431,0.237860434303178,0.0164922478415576
6,outbag,0.946492869875223,0.426666666666667,0.990968508615567,0.0465573130618452,0.227328310862374,0.0161325666740991
7,mean,0.950046048722519,0.465,0.988027332144979,0.0603320248755547,0.260685436017673,0.0149168173634672
7,outbag,0.939058972073678,0.448333333333333,0.988027332144979,0.0615736334212157,0.260795643782813,0.0167979222582421
8,mean,0.954661319073084,0.471666666666667,0.985977421271539,0.042961781079332,0.235505082064402,0.0170941272918934
8,outbag,0.943790849673203,0.471666666666667,0.990017825311943,0.0567211031949965,0.19239118435129,0.01436054837663
9,mean,0.935155971479501,0.385,0.988948306595365,0.0588550125457226,0.220950142605162,0.0167814718169373
9,outbag,0.9470729352347,0.458333333333333,0.983006535947712,0.054292846691001,0.243212456199461,0.0202780174916455
10,mean,0.942541592394534,0.368333333333333,0.987997623291741,0.0435711167720586,0.203623779746278,0.0168305850325995
10,outbag,0.939958407605466,0.436666666666667,0.985026737967914,0.0550340191635157,0.23705569450838,0.0188418719780493
