degree,nprune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,2,0.715235442661913,0.27,0.979916815210933,0.0977329850720952,0.219167704643318,0.0339849472178345
1,3,0.894325609031491,0.413333333333333,0.976975638740345,0.0912899991944266,0.219691528776355,0.0258843849560025
1,5,0.889535056446821,0.48,0.976945929887106,0.104451065617486,0.244808158529814,0.0205127782666099
1,7,0.898939393939394,0.561666666666667,0.971954842543078,0.0857079692980404,0.21722518640617,0.0285404047772221
1,8,0.91277926322044,0.643333333333333,0.974004753416518,0.0813763272114374,0.193753012583179,0.0302098585839007
1,10,0.927204396910279,0.62,0.972905525846702,0.0671134185206739,0.224990421252044,0.0300074530399069
1,12,0.919190433749257,0.601666666666667,0.97192513368984,0.101451250859367,0.206982980032148,0.0295689691392319
1,13,0.9167082590612,0.595,0.968894830659537,0.0998068290951906,0.213892496362074,0.035030057475846
1,15,0.910129233511586,0.611666666666667,0.962923351158645,0.101184049282304,0.215631923510369,0.0343033264810401
1,17,0.909408793820559,0.62,0.962893642305407,0.101018064431504,0.225755436792515,0.0342968446337388
