nIter,method,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
50,Adaboost.M1,0.947523767082591,0.483333333333333,0.987938205585264,0.0399328603644991,0.192234291916156,0.0170038342711329
50,Real adaboost,0.511036096256684,0.241666666666667,0.997979797979798,0.1596206992163,0.182927974017538,0.00768812520310492
100,Adaboost.M1,0.95865715983363,0.513333333333333,0.987938205585264,0.0275567191399632,0.22008357869045,0.0203909002692039
100,Real adaboost,0.540817736185383,0.288333333333333,0.998989898989899,0.169124134671517,0.224254832467569,0.00553255108591076
150,Adaboost.M1,0.959514260249554,0.516666666666667,0.985947712418301,0.0253493897258966,0.213482347381881,0.0172293950031694
150,Real adaboost,0.530515448603684,0.281666666666667,1,0.197803389111131,0.211106825929488,0
200,Adaboost.M1,0.961390374331551,0.506666666666667,0.985947712418301,0.0255218167167753,0.220396716499312,0.0172293950031694
200,Real adaboost,0.52358660130719,0.281666666666667,0.998989898989899,0.202628711349312,0.229873778458937,0.00553255108591076
250,Adaboost.M1,0.960720439691028,0.515,0.987938205585264,0.0252066210603635,0.197898441387112,0.0150266817024225
250,Real adaboost,0.534841057635175,0.281666666666667,0.998989898989899,0.178270885110805,0.229873778458937,0.00553255108591076
300,Adaboost.M1,0.959872251931076,0.523333333333333,0.987938205585264,0.0278286784561003,0.222731217844062,0.0150266817024225
300,Real adaboost,0.509794266191325,0.281666666666667,0.998989898989899,0.187980081100639,0.229873778458937,0.00553255108591076
350,Adaboost.M1,0.959662804515746,0.523333333333333,0.987938205585264,0.0261539054880982,0.212835266285249,0.0150266817024225
350,Real adaboost,0.5021353238265,0.29,0.998989898989899,0.190776266503412,0.233193718493504,0.00553255108591076
400,Adaboost.M1,0.959038918597742,0.508333333333333,0.987938205585264,0.0255641792853589,0.218964385914355,0.0150266817024225
400,Real adaboost,0.492267528223411,0.273333333333333,0.998989898989899,0.200109119014802,0.216449935811133,0.00553255108591076
450,Adaboost.M1,0.962063279857397,0.501666666666667,0.987938205585264,0.0241003072632885,0.219121810452752,0.0150266817024225
450,Real adaboost,0.492909239453357,0.273333333333333,0.998989898989899,0.174631187822663,0.216449935811133,0.00553255108591076
500,Adaboost.M1,0.959542483660131,0.508333333333333,0.987938205585264,0.0255918745206075,0.218964385914355,0.0150266817024225
500,Real adaboost,0.510291889483066,0.273333333333333,0.998989898989899,0.15332534959951,0.216449935811133,0.00553255108591076
