@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
32,0,9,0,1,1,0.780488,1,0.219512,0.876712,1,1,0.13
32,0,8,1,0.888889,1,0.8,1,0.2,0.888889,0.97561,1.025,0.18
32,0,7,2,0.777778,1,0.820513,1,0.179487,0.901408,0.95122,1.051282,0.21
31,1,6,3,0.666667,0.96875,0.837838,0.96875,0.162162,0.898551,0.902439,1.07348,0.44
31,1,4,5,0.444444,0.96875,0.885714,0.96875,0.114286,0.925373,0.853659,1.134821,0.49
30,2,4,5,0.444444,0.9375,0.882353,0.9375,0.117647,0.909091,0.829268,1.130515,0.54
30,2,2,7,0.222222,0.9375,0.9375,0.9375,0.0625,0.9375,0.780488,1.201172,0.61
29,3,1,8,0.111111,0.90625,0.966667,0.90625,0.033333,0.935484,0.731707,1.238542,0.67
28,4,1,8,0.111111,0.875,0.965517,0.875,0.034483,0.918033,0.707317,1.237069,0.71
27,5,1,8,0.111111,0.84375,0.964286,0.84375,0.035714,0.9,0.682927,1.235491,0.8
25,7,0,9,0,0.78125,1,0.78125,0,0.877193,0.609756,1.28125,0.82
24,8,0,9,0,0.75,1,0.75,0,0.857143,0.585366,1.28125,0.83
22,10,0,9,0,0.6875,1,0.6875,0,0.814815,0.536585,1.28125,0.84
20,12,0,9,0,0.625,1,0.625,0,0.769231,0.487805,1.28125,0.88
19,13,0,9,0,0.59375,1,0.59375,0,0.745098,0.463415,1.28125,0.9
18,14,0,9,0,0.5625,1,0.5625,0,0.72,0.439024,1.28125,0.94
16,16,0,9,0,0.5,1,0.5,0,0.666667,0.390244,1.28125,0.96
14,18,0,9,0,0.4375,1,0.4375,0,0.608696,0.341463,1.28125,0.97
13,19,0,9,0,0.40625,1,0.40625,0,0.577778,0.317073,1.28125,0.98
11,21,0,9,0,0.34375,1,0.34375,0,0.511628,0.268293,1.28125,0.99
9,23,0,9,0,0.28125,1,0.28125,0,0.439024,0.219512,1.28125,1
0,32,0,9,0,0,0,0,0,0,0,?,1.00001
