@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
12,0,20,0,1,1,0.375,1,0.625,0.545455,1,1,0.03
11,1,19,1,0.95,0.916667,0.366667,0.916667,0.633333,0.52381,0.9375,0.977778,0.04
11,1,18,2,0.9,0.916667,0.37931,0.916667,0.62069,0.536585,0.90625,1.011494,0.08
11,1,16,4,0.8,0.916667,0.407407,0.916667,0.592593,0.564103,0.84375,1.08642,0.1
11,1,15,5,0.75,0.916667,0.423077,0.916667,0.576923,0.578947,0.8125,1.128205,0.11
11,1,14,6,0.7,0.916667,0.44,0.916667,0.56,0.594595,0.78125,1.173333,0.12
11,1,12,8,0.6,0.916667,0.478261,0.916667,0.521739,0.628571,0.71875,1.275362,0.14
11,1,11,9,0.55,0.916667,0.5,0.916667,0.5,0.647059,0.6875,1.333333,0.15
11,1,10,10,0.5,0.916667,0.52381,0.916667,0.47619,0.666667,0.65625,1.396825,0.17
11,1,9,11,0.45,0.916667,0.55,0.916667,0.45,0.6875,0.625,1.466667,0.18
11,1,8,12,0.4,0.916667,0.578947,0.916667,0.421053,0.709677,0.59375,1.54386,0.31
10,2,8,12,0.4,0.833333,0.555556,0.833333,0.444444,0.666667,0.5625,1.481481,0.32
9,3,8,12,0.4,0.75,0.529412,0.75,0.470588,0.62069,0.53125,1.411765,0.34
9,3,7,13,0.35,0.75,0.5625,0.75,0.4375,0.642857,0.5,1.5,0.36
9,3,6,14,0.3,0.75,0.6,0.75,0.4,0.666667,0.46875,1.6,0.41
9,3,5,15,0.25,0.75,0.642857,0.75,0.357143,0.692308,0.4375,1.714286,0.43
8,4,5,15,0.25,0.666667,0.615385,0.666667,0.384615,0.64,0.40625,1.641026,0.44
8,4,4,16,0.2,0.666667,0.666667,0.666667,0.333333,0.666667,0.375,1.777778,0.49
8,4,3,17,0.15,0.666667,0.727273,0.666667,0.272727,0.695652,0.34375,1.939394,0.52
8,4,2,18,0.1,0.666667,0.8,0.666667,0.2,0.727273,0.3125,2.133333,0.6
8,4,1,19,0.05,0.666667,0.888889,0.666667,0.111111,0.761905,0.28125,2.37037,0.68
7,5,1,19,0.05,0.583333,0.875,0.583333,0.125,0.7,0.25,2.333333,0.72
6,6,1,19,0.05,0.5,0.857143,0.5,0.142857,0.631579,0.21875,2.285714,0.82
6,6,0,20,0,0.5,1,0.5,0,0.666667,0.1875,2.666667,0.84
4,8,0,20,0,0.333333,1,0.333333,0,0.5,0.125,2.666667,0.87
1,11,0,20,0,0.083333,1,0.083333,0,0.153846,0.03125,?,0.91
0,12,0,20,0,0,0,0,0,0,0,?,0.91001
