@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
8,0,24,0,1,1,0.25,1,0.75,0.4,1,1,0
8,0,22,2,0.916667,1,0.266667,1,0.733333,0.421053,0.9375,1.066667,0.02
8,0,21,3,0.875,1,0.275862,1,0.724138,0.432432,0.90625,1.103448,0.04
8,0,19,5,0.791667,1,0.296296,1,0.703704,0.457143,0.84375,1.185185,0.05
8,0,17,7,0.708333,1,0.32,1,0.68,0.484848,0.78125,1.28,0.06
8,0,15,9,0.625,1,0.347826,1,0.652174,0.516129,0.71875,1.391304,0.07
8,0,13,11,0.541667,1,0.380952,1,0.619048,0.551724,0.65625,1.52381,0.1
8,0,10,14,0.416667,1,0.444444,1,0.555556,0.615385,0.5625,1.777778,0.12
8,0,8,16,0.333333,1,0.5,1,0.5,0.666667,0.5,2,0.13
8,0,7,17,0.291667,1,0.533333,1,0.466667,0.695652,0.46875,2.133333,0.16
7,1,6,18,0.25,0.875,0.538462,0.875,0.461538,0.666667,0.40625,2.153846,0.21
6,2,5,19,0.208333,0.75,0.545455,0.75,0.454545,0.631579,0.34375,2.181818,0.24
5,3,5,19,0.208333,0.625,0.5,0.625,0.5,0.555556,0.3125,2,0.33
4,4,5,19,0.208333,0.5,0.444444,0.5,0.555556,0.470588,0.28125,1.777778,0.34
4,4,4,20,0.166667,0.5,0.5,0.5,0.5,0.5,0.25,2,0.38
3,5,4,20,0.166667,0.375,0.428571,0.375,0.571429,0.4,0.21875,1.714286,0.4
3,5,3,21,0.125,0.375,0.5,0.375,0.5,0.428571,0.1875,2,0.46
3,5,2,22,0.083333,0.375,0.6,0.375,0.4,0.461538,0.15625,2.4,0.48
3,5,1,23,0.041667,0.375,0.75,0.375,0.25,0.5,0.125,3,0.51
2,6,1,23,0.041667,0.25,0.666667,0.25,0.333333,0.363636,0.09375,?,0.56
1,7,0,24,0,0.125,1,0.125,0,0.222222,0.03125,?,0.58
0,8,0,24,0,0,0,0,0,0,0,?,0.58001
