@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
19,0,5,0,1,1,0.791667,1,0.208333,0.883721,1,1,0.44
19,0,4,1,0.8,1,0.826087,1,0.173913,0.904762,0.958333,1.043478,0.48
19,0,1,4,0.2,1,0.95,1,0.05,0.974359,0.833333,1.2,0.5
19,0,0,5,0,1,1,1,0,1,0.791667,1.263158,0.51
18,1,0,5,0,0.947368,1,0.947368,0,0.972973,0.75,1.263158,0.59
17,2,0,5,0,0.894737,1,0.894737,0,0.944444,0.708333,1.263158,0.61
16,3,0,5,0,0.842105,1,0.842105,0,0.914286,0.666667,1.263158,0.68
15,4,0,5,0,0.789474,1,0.789474,0,0.882353,0.625,1.263158,0.82
14,5,0,5,0,0.736842,1,0.736842,0,0.848485,0.583333,1.263158,0.88
13,6,0,5,0,0.684211,1,0.684211,0,0.8125,0.541667,1.263158,0.91
12,7,0,5,0,0.631579,1,0.631579,0,0.774194,0.5,1.263158,0.94
11,8,0,5,0,0.578947,1,0.578947,0,0.733333,0.458333,1.263158,0.97
10,9,0,5,0,0.526316,1,0.526316,0,0.689655,0.416667,1.263158,0.98
9,10,0,5,0,0.473684,1,0.473684,0,0.642857,0.375,1.263158,0.99
6,13,0,5,0,0.315789,1,0.315789,0,0.48,0.25,1.263158,1
0,19,0,5,0,0,0,0,0,0,0,?,1.00001
