@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
9,0,32,0,1,1,0.219512,1,0.780488,0.36,1,1,0
9,0,22,10,0.6875,1,0.290323,1,0.709677,0.45,0.756098,1.322581,0.01
9,0,20,12,0.625,1,0.310345,1,0.689655,0.473684,0.707317,1.413793,0.02
9,0,19,13,0.59375,1,0.321429,1,0.678571,0.486486,0.682927,1.464286,0.04
9,0,17,15,0.53125,1,0.346154,1,0.653846,0.514286,0.634146,1.576923,0.05
9,0,15,17,0.46875,1,0.375,1,0.625,0.545455,0.585366,1.708333,0.06
9,0,14,18,0.4375,1,0.391304,1,0.608696,0.5625,0.560976,1.782609,0.08
9,0,13,19,0.40625,1,0.409091,1,0.590909,0.580645,0.536585,1.863636,0.1
9,0,12,20,0.375,1,0.428571,1,0.571429,0.6,0.512195,1.952381,0.11
9,0,11,21,0.34375,1,0.45,1,0.55,0.62069,0.487805,2.05,0.13
9,0,10,22,0.3125,1,0.473684,1,0.526316,0.642857,0.463415,2.157895,0.16
9,0,8,24,0.25,1,0.529412,1,0.470588,0.692308,0.414634,2.411765,0.2
9,0,7,25,0.21875,1,0.5625,1,0.4375,0.72,0.390244,2.5625,0.21
9,0,6,26,0.1875,1,0.6,1,0.4,0.75,0.365854,2.733333,0.23
9,0,4,28,0.125,1,0.692308,1,0.307692,0.818182,0.317073,3.153846,0.24
8,1,4,28,0.125,0.888889,0.666667,0.888889,0.333333,0.761905,0.292683,3.037037,0.27
8,1,3,29,0.09375,0.888889,0.727273,0.888889,0.272727,0.8,0.268293,3.313131,0.29
8,1,2,30,0.0625,0.888889,0.8,0.888889,0.2,0.842105,0.243902,3.644444,0.38
7,2,2,30,0.0625,0.777778,0.777778,0.777778,0.222222,0.777778,0.219512,3.54321,0.42
6,3,2,30,0.0625,0.666667,0.75,0.666667,0.25,0.705882,0.195122,3.416667,0.44
5,4,2,30,0.0625,0.555556,0.714286,0.555556,0.285714,0.625,0.170732,3.253968,0.45
4,5,1,31,0.03125,0.444444,0.8,0.444444,0.2,0.571429,0.121951,3.644444,0.51
4,5,0,32,0,0.444444,1,0.444444,0,0.615385,0.097561,?,0.52
3,6,0,32,0,0.333333,1,0.333333,0,0.5,0.073171,?,0.75
2,7,0,32,0,0.222222,1,0.222222,0,0.363636,0.04878,?,0.77
1,8,0,32,0,0.111111,1,0.111111,0,0.2,0.02439,?,0.86
0,9,0,32,0,0,0,0,0,0,0,?,0.86001
