@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
12,0,20,0,1,1,0.375,1,0.625,0.545455,1,1,0.02
12,0,19,1,0.95,1,0.387097,1,0.612903,0.55814,0.96875,1.032258,0.03
12,0,18,2,0.9,1,0.4,1,0.6,0.571429,0.9375,1.066667,0.05
12,0,16,4,0.8,1,0.428571,1,0.571429,0.6,0.875,1.142857,0.06
12,0,15,5,0.75,1,0.444444,1,0.555556,0.615385,0.84375,1.185185,0.07
12,0,14,6,0.7,1,0.461538,1,0.538462,0.631579,0.8125,1.230769,0.08
12,0,13,7,0.65,1,0.48,1,0.52,0.648649,0.78125,1.28,0.09
12,0,12,8,0.6,1,0.5,1,0.5,0.666667,0.75,1.333333,0.12
11,1,12,8,0.6,0.916667,0.478261,0.916667,0.521739,0.628571,0.71875,1.275362,0.16
11,1,10,10,0.5,0.916667,0.52381,0.916667,0.47619,0.666667,0.65625,1.396825,0.2
11,1,9,11,0.45,0.916667,0.55,0.916667,0.45,0.6875,0.625,1.466667,0.22
11,1,7,13,0.35,0.916667,0.611111,0.916667,0.388889,0.733333,0.5625,1.62963,0.23
11,1,6,14,0.3,0.916667,0.647059,0.916667,0.352941,0.758621,0.53125,1.72549,0.28
11,1,5,15,0.25,0.916667,0.6875,0.916667,0.3125,0.785714,0.5,1.833333,0.37
11,1,4,16,0.2,0.916667,0.733333,0.916667,0.266667,0.814815,0.46875,1.955556,0.39
11,1,3,17,0.15,0.916667,0.785714,0.916667,0.214286,0.846154,0.4375,2.095238,0.42
10,2,3,17,0.15,0.833333,0.769231,0.833333,0.230769,0.8,0.40625,2.051282,0.45
9,3,3,17,0.15,0.75,0.75,0.75,0.25,0.75,0.375,2,0.49
9,3,2,18,0.1,0.75,0.818182,0.75,0.181818,0.782609,0.34375,2.181818,0.52
7,5,1,19,0.05,0.583333,0.875,0.583333,0.125,0.7,0.25,2.333333,0.71
6,6,1,19,0.05,0.5,0.857143,0.5,0.142857,0.631579,0.21875,2.285714,0.75
4,8,1,19,0.05,0.333333,0.8,0.333333,0.2,0.470588,0.15625,2.133333,0.76
3,9,1,19,0.05,0.25,0.75,0.25,0.25,0.375,0.125,2,0.79
2,10,1,19,0.05,0.166667,0.666667,0.166667,0.333333,0.266667,0.09375,1.777778,0.81
1,11,1,19,0.05,0.083333,0.5,0.083333,0.5,0.142857,0.0625,?,0.88
0,12,1,19,0.05,0,0,0,1,0,0.03125,?,0.95
0,12,0,20,0,0,0,0,0,0,0,?,0.95001
